#,Game,Release date,Price,Userscore,Metascore,Owners,Average playtime,Median playtime
7,Sid Meier's Civilization V,"Sep 21, 2010",$29.99,96%,90%,"9,893,300",173:22,40:02
9,Borderlands 2,"Sep 17, 2012",$19.99,96%,89%,"7,126,141",59:40,23:37
2,BioShock Infinite,"Mar 25, 2013",$29.99,95%,94%,"4,546,846",15:19,10:51
1,BioShock,"Aug 21, 2007",Free,94%,96%,"3,602,596",7:08,2:43
8,XCOM: Enemy Unknown,"Oct 8, 2012",$29.99,95%,89%,"3,442,598",49:23,23:18
12,BioShock 2,"Feb 9, 2010",Free,90%,88%,"3,181,560",7:44,2:44
16,Borderlands,"Oct 26, 2009",$19.99,94%,81%,"3,160,897",29:41,12:38
19,Mafia II,"Mar 22, 2011",$29.99,94%,77%,"2,528,869",28:51,14:39
21,Spec Ops: The Line,"Jun 25, 2012",$29.99,94%,76%,"1,679,973",6:18,4:47
3,Sid Meier's Civilization IV,"Oct 25, 2006",$19.99,92%,94%,"1,460,640",29:40,2:57
13,Sid Meier's Civilization IV: Beyond the Sword,"Jul 24, 2007",$9.99,96%,86%,"1,225,573",82:04,9:31
15,Sid Meier's Civilization IV: Colonization,"Sep 23, 2008",$19.99,80%,83%,"1,222,729",15:32,1:07
14,Sid Meier's Civilization IV: Warlords,"Apr 6, 2007",$4.99,86%,84%,"1,211,544",11:31,0:51
20,The Darkness II,"Feb 6, 2012",$29.99,90%,77%,"1,168,701",6:04,4:03
6,Sid Meier's Civilization III: Complete,"Oct 25, 2006",$4.99,90%,90%,"1,130,787",60:54,2:17
24,The Bureau: XCOM Declassified,"Aug 19, 2013",$19.99,67%,66%,"1,095,906",7:06,2:53
26,Duke Nukem Forever,"Jun 13, 2011",$19.99,70%,54%,"1,034,486",10:37,4:04
11,Sid Meier's Pirates!,"Jul 11, 2005",$9.99,94%,88%,"824,821",11:29,3:33
34,X-COM: UFO Defense,"Sep 4, 2008",$4.99,96%,/,"712,974",16:02,1:39
33,X-COM: Terror from the Deep,"May 4, 2007",$4.99,91%,/,"645,677",11:34,0:35
32,X-COM: Apocalypse,"Sep 4, 2008",$4.99,90%,/,"636,767",8:13,0:15
25,X-COM: Enforcer,"Sep 4, 2008",$4.99,52%,65%,"612,881",1:04,0:15
29,X-COM: Interceptor,"Sep 4, 2008",$4.99,55%,/,"612,502",1:01,0:12
31,Sid Meier's Ace Patrol,"Aug 27, 2013",$4.99,72%,/,"587,289",3:51,1:57
30,Sid Meier's Ace Patrol: Pacific Skies,"Nov 5, 2013",$4.99,66%,/,"581,981",3:15,1:45
18,Sid Meier's Railroads!,"May 4, 2007",$9.99,66%,77%,"549,944",12:09,2:06
4,Freedom Force,"May 29, 2009",$4.99,67%,90%,"258,384",2:48,0:40
17,Railroad Tycoon 3,"May 4, 2007",$9.99,73%,80%,"241,513",16:30,1:45
27,Freedom Force vs. the 3rd Reich,"May 29, 2009",$4.99,87%,/,"237,532",3:58,0:33
10,Railroad Tycoon 2: Platinum,"May 4, 2007",$4.99,83%,89%,"190,329",18:35,2:00
28,NBA 2K14,"Oct 1, 2013",$29.99,73%,/,"171,940",88:22,23:16
5,NBA 2K13,"Oct 30, 2012",$29.99,82%,90%,"100,662",88:16,22:21
22,CivCity: Rome,"Apr 6, 2007",$9.99,80%,67%,"76,586",12:53,3:28
23,Shattered Union,"Oct 25, 2006",$4.99,36%,67%,"41,895",4:32,0:32
