Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Dota 2,2013,Free,89,90,action,93836229,197.27,4.306
Team Fortress 2,2007,Free,94,92,action,38432536,74.15,4.036
Unturned,2014,Free,92,/,action,27635234,18.204,2.294
Counter-Strike: Global Offensive,2012,$14.99,92,83,action,26815555,281.024,80.204
Left 4 Dead 2,2009,$19.99,97,89,action,15885631,37.324,9.102
Counter-Strike: Source,2004,$19.99,95,88,action,15444296,137.306,11.174
Half-Life 2: Lost Coast,2005,Free,83,/,action,14985654,1.0,0.15
Warframe,2013,Free,91,68,action,14984245,68.096,4.27
Half-Life 2: Deathmatch,2004,$4.99,89,/,action,14089904,11.114,0.23399999999999999
Heroes & Generals,2016,Free,67,/,action,13229171,12.06,0.3
Counter-Strike,2000,$9.99,97,88,action,13172218,187.276,7.15
Robocraft,2014,Free,73,/,action,11562041,18.228,2.138
War Thunder,2013,Free,83,81,action,10704930,42.342,4.276
Counter-Strike: Condition Zero,2004,$9.99,90,65,action,10626846,33.276,1.162
Counter-Strike: Condition Zero Deleted Scenes,2004,$9.99,90,65,action,10626846,3.126,0.192
Half-Life 2,2004,$9.99,97,96,action,9983057,11.354,5.048
Portal,2007,$9.99,98,90,action,9864925,5.144,2.348
Portal 2,2011,$19.99,98,95,action,9028543,16.156,9.222
Terraria,2011,$9.99,97,83,action,8283728,78.066,22.336
Day of Defeat,2003,$4.99,90,79,action,7643360,15.21,0.15
Paladins,2016,Free,88,/,action,7544950,13.084,3.318
Deathmatch Classic,2001,$4.99,84,/,action,7527643,2.204,0.042
Ricochet,2000,$4.99,81,/,action,7522209,1.294,0.018
PAYDAY 2,2013,$19.99,80,79,action,7475319,55.138,17.18
Trove,2015,Free,78,/,action,7406492,19.318,2.0
No More Room in Hell,2013,Free,90,/,action,7223357,7.018,1.144
Counter-Strike Nexon: Zombies,2014,Free,65,/,action,7161977,16.15,0.24
Borderlands 2,2012,$19.99,96,89,action,7138632,61.12,24.006
PlanetSide 2,2012,Free,84,84,action,7112068,26.084,2.33
Half-Life Deathmatch: Source,2006,$9.99,74,/,action,6841793,2.072,0.06
Warface,2014,Free,72,62,action,6592046,14.018,1.234
Grand Theft Auto V,2015,$59.99,82,96,action,6510943,112.018,61.132
Day of Defeat: Source,2010,$9.99,91,80,action,6481762,31.264,1.27
Path of Exile,2013,Free,93,86,action,6434872,55.246,4.072
Half-Life 2: Episode One,2006,$7.99,95,87,action,6347128,4.342,3.12
ARK: Survival Of The Fittest,2016,Free,57,/,action,6267032,3.276,0.15
Dirty Bomb,,Free,76,63,action,6153730,10.06,1.024
Half-Life,1998,$9.99,96,96,action,6031372,8.27,1.21
Half-Life 2: Episode Two,2007,$7.99,96,90,action,5774178,7.192,5.0
Loadout,2014,Free,86,72,action,5599697,7.006,2.012
Half-Life: Opposing Force,1999,$4.99,95,/,action,5485389,8.348,1.318
Team Fortress Classic,1999,$4.99,83,/,action,5481967,8.18,0.096
Half-Life: Blue Shift,2001,$4.99,90,71,action,5452585,5.114,1.06
Brawlhalla,2014,Free,88,/,action,5274079,11.15,2.15
Marvel Heroes 2015,2013,Free,77,81,action,5159369,29.162,1.06
Call of Duty: Modern Warfare 2 - Multiplayer,2009,$19.99,91,86,action,5129383,148.3,42.066
Call of Duty: Modern Warfare 2,2009,$19.99,91,86,action,5129383,23.198,9.252
Rocket League,2015,$19.99,94,86,action,5039224,71.006,18.342
Evolve,2015,Free,66,77,action,5037413,9.228,1.342
Rust,2013,$19.99,81,/,action,5025942,98.018,23.036
SMITE,2015,Free,85,83,action,5020307,31.3,2.216
Alien Swarm,2010,Free,95,77,action,4840191,5.054,1.222
Metro 2033,2010,$14.99,93,81,action,4676376,7.18,2.216
APB Reloaded,2011,Free,64,/,action,4660276,25.27,2.096
BioShock Infinite,2013,$29.99,95,94,action,4598091,14.33,10.282
Left 4 Dead,2008,$19.99,95,89,action,4587827,39.06,7.21
Neverwinter,2013,Free,78,74,action,4587425,28.204,4.306
Fallout: New Vegas,2010,$9.99,95,84,action,4581991,59.204,21.342
Tomb Raider,2013,$19.99,96,86,action,4508737,15.132,10.264
theHunter,2014,Free,40,/,action,4388190,5.264,0.22799999999999998
Chivalry: Medieval Warfare,2012,$24.99,84,79,action,4376920,17.216,4.282
ARK: Survival Evolved,2015,$29.99,70,/,action,4339891,115.12,15.198
PAYDAY: The Heist,2011,$14.99,93,76,action,4294610,8.048,2.324
Just Cause 2,2010,$14.99,92,84,action,4201634,17.024,3.186
Grand Theft Auto IV,2008,$19.99,65,90,action,4194792,23.024,7.054
Arma 2: Operation Arrowhead,2010,$19.99,92,73,action,4109061,51.084,3.246
FreeStyle2: Street Basketball,2015,Free,74,/,action,4070220,12.33,1.048
Saints Row: The Third,2011,$9.99,96,84,action,4020713,26.198,15.234
TERA,2015,Free,82,77,action,3805983,26.18,4.036
Life Is Strange,2015,Free,96,/,action,3756476,8.18,2.306
Magicka,2011,$9.99,94,74,action,3686844,10.096,4.21
H1Z1: King of the Kill,2016,$19.99,63,/,action,3652431,45.072,10.102
DayZ,2013,$34.99,68,/,action,3643375,77.252,21.186
Call of Duty: Black Ops - Multiplayer,2010,$39.99,88,81,action,3625665,76.354,18.246
Call of Duty: Black Ops,2010,$39.99,88,81,action,3625665,24.042,9.126
BioShock Remastered,2016,$19.99,49,/,action,3600711,4.09,1.168
BioShock,2007,Free,94,96,action,3600308,7.156,2.33
Sniper Elite V2,2012,$29.99,88,66,action,3581794,9.276,3.12
BLOCKADE 3D,2014,Free,60,/,action,3545167,6.18,0.3
Killing Floor,2009,$19.99,96,72,action,3520413,39.054,8.306
Defiance,2014,Free,78,64,action,3455410,16.336,2.192
HAWKEN,2014,Free,85,73,action,3410734,6.0,1.0
Batman: Arkham City GOTY,2012,$19.99,96,91,action,3405904,16.102,7.3
Call of Duty: Modern Warfare 3 - Multiplayer,2011,$39.99,85,/,action,3399665,109.084,27.324
Call of Duty: Modern Warfare 3,2011,$39.99,85,/,action,3399665,22.354,9.12
Torchlight II,2012,$19.99,95,88,action,3390810,24.342,11.072
Castle Crashers,2012,$14.99,96,/,action,3388194,8.24,3.354
Insurgency,2014,$9.99,91,74,action,3326411,18.144,4.21
Amnesia: The Dark Descent,2010,$19.99,95,85,action,3257383,4.06,1.1320000000000001
GunZ 2: The Second Duel,2014,Free,67,/,action,3201236,8.006,0.354
Saints Row IV,2013,$14.99,92,86,action,3196406,20.186,13.3
Borderlands,2009,$19.99,94,81,action,3180708,30.06,12.336
BioShock 2 Remastered,2016,$19.99,41,/,action,3171853,4.24,1.264
BioShock 2,2010,Free,90,88,action,3171652,8.042,2.258
Survarium,2015,Free,51,/,action,3143276,5.054,0.198
Far Cry 3,2012,$19.99,89,88,action,3111882,28.258,16.27
Fistful of Frags,2014,Free,92,/,action,3083506,4.336,1.1139999999999999
Call of Duty: Black Ops II - Multiplayer,2012,$59.99,85,74,action,3051307,87.072,19.282
Call of Duty: Black Ops II,2012,$59.99,85,74,action,3051307,9.192,3.216
Half-Life: Source,2004,$9.99,81,/,action,3048489,6.024,1.042
Dishonored,2012,$9.99,97,91,action,3041043,17.012,10.12
Company of Heroes,2007,$19.99,95,93,action,3027962,16.3,2.09
Hitman: Absolution,2012,$19.99,90,79,action,3000391,16.246,8.138
The Binding of Isaac,2011,$4.99,96,84,action,2997372,30.3,6.09
Firefall,2014,Free,65,60,action,2997171,14.234,1.15
Blacklight: Retribution,2012,Free,76,75,action,2925930,11.054,1.234
Arma 3,2013,$39.99,90,74,action,2884875,170.288,35.216
Dark Souls: Prepare to Die Edition,2012,$19.99,90,85,action,2841808,42.114,9.006
Batman: Arkham Asylum GOTY Edition,2010,$19.99,96,91,action,2841607,10.3,7.018
Spiral Knights,2011,Free,84,64,action,2825306,18.102,1.192
Mirror's Edge,2009,$19.99,89,81,action,2822287,4.24,2.036
The Expendabros,2014,Free,97,/,action,2820678,2.138,1.018
Cry of Fear,2013,Free,87,/,action,2814640,2.192,0.27
The Forest,2014,$14.99,91,/,action,2807395,19.042,9.306
Realm of the Mad God,2012,Free,82,82,action,2801760,20.186,1.108
Rising Storm/Red Orchestra 2 Multiplayer,2011,$19.99,92,76,action,2782642,27.144,4.234
Grand Theft Auto: Episodes from Liberty City,2010,$19.99,75,/,action,2772378,14.276,3.024
Grand Theft Auto: San Andreas,2011,$14.99,88,93,action,2766945,13.102,1.336
