Game,Release year,Price,Userscore,Metascore,Publisher,Owners,Average playtime,Median playtime
Call of Duty: Modern Warfare 2 - Multiplayer,2009,$19.99,91,86,,5139919,149.192,42.0
Call of Duty: Modern Warfare 2,2009,$19.99,91,86,,5139919,23.024,9.24
Call of Duty: Black Ops - Multiplayer,2010,$39.99,88,81,,3613011,77.054,18.252
Call of Duty: Black Ops,2010,$39.99,88,81,,3613011,24.192,9.096
Call of Duty: Modern Warfare 3 - Multiplayer,2011,$39.99,85,/,,3450727,108.186,27.216
Call of Duty: Modern Warfare 3,2011,$39.99,85,/,,3450727,25.042,9.09
Call of Duty: Black Ops II - Multiplayer,2012,$59.99,85,74,,3053235,84.108,19.246
Call of Duty: Black Ops II,2012,$59.99,85,74,,3053235,9.168,3.156
Call of Duty: World at War,2008,$19.99,93,83,,1594994,38.204,11.276
Call of Duty: Ghosts - Multiplayer,2014,$59.99,56,68,,1451085,37.126,6.21
Call of Duty: Ghosts,2014,$59.99,56,68,,1451085,8.3,5.12
Call of Duty: Black Ops III,2015,$59.99,55,/,,1415881,69.246,23.222
Call of Duty: Advanced Warfare - Multiplayer,2014,$59.99,61,78,,1090151,36.18,9.258
Call of Duty: Advanced Warfare,2014,$59.99,61,78,,1090151,10.198,5.306
Call of Duty 4: Modern Warfare,2007,$19.99,92,92,,1073323,23.162,7.138
Vampire: The Masquerade - Bloodlines,2007,$19.99,94,80,,553780,13.288,3.108
PROTOTYPE 2,2012,$39.99,66,76,,530569,15.108,9.294
Prototype,2009,$19.99,81,79,,482599,11.288,5.09
Call of Duty®: Infinite Warfare,2016,$59.99,52,/,,336175,22.054,9.006
Call of Duty 2,2006,$19.99,90,86,,333660,16.318,4.348
Deadpool,2013,$39.99,91,63,,322829,7.198,5.066
Transformers: War for Cybertron,2010,$19.99,89,75,,238301,11.09,4.048
The Legend of Korra,2014,$14.99,82,/,,230371,6.33,3.204
Call of Duty,2006,$19.99,92,91,,225729,6.138,3.0
Transformers: Fall of Cybertron,2012,$49.99,92,/,,201163,22.006,7.078
Call of Duty: United Offensive,2006,$19.99,86,87,,194394,5.126,1.144
Geometry Wars: Retro Evolved,2007,$3.99,90,76,,157449,2.096,0.15
Singularity,2010,$29.99,92,76,,153000,7.174,5.204
The Amazing Spider-Man,2012,$39.99,72,/,,139654,12.258,6.06
Tony Hawk's Pro Skater HD,2012,$9.99,62,/,,134238,6.084,2.036
TimeShift,2009,$19.99,81,71,,132497,3.216,0.276
Space Quest Collection,2009,$19.99,74,/,,129209,7.036,0.174
Geometry Wars 3: Dimensions,2014,$14.99,91,/,,119151,5.204,1.204
The Amazing Spider-Man 2,2014,$39.99,66,57,,97100,12.18,7.234
King's Quest Collection,2009,$19.99,74,/,,95359,5.144,0.222
Arcanum,2016,$5.99,90,81,,87042,3.066,0.222
Caesar 3,2016,$5.99,86,/,,74469,6.054,1.216
GUN,2006,$19.99,90,76,,73695,4.3,1.06
TRANSFORMERS: Devastation,2015,$49.99,93,/,,64604,5.288,2.24
Teenage Mutant Ninja Turtles: Out of the Shadows,2013,$14.99,53,/,,53386,7.354,1.324
Cabela's Big Game Hunter Pro Hunts,2014,$29.99,75,/,,42167,15.006,8.21
TRANSFORMERS: Rise of the Dark Spark,2014,$49.99,54,/,,32496,10.162,5.192
Street Legal Racing: Redline v2.3.1,2016,$9.99,80,/,,29594,11.342,5.288
Pharaoh + Cleopatra,2016,$9.99,85,/,,24759,7.042,2.0
Spider-Man: Shattered Dimensions,2015,$29.99,67,68,,22631,9.318,3.198
White Night,2015,$14.99,79,68,,21664,3.042,1.048
Zeus + Poseidon,2016,$9.99,95,/,,21083,4.312,1.15
Fast & Furious: Showdown,2013,$29.99,35,/,,17795,3.024,0.3
Cabelas Trophy Bucks,2008,$19.99,27,/,,15087,2.084,1.054
3D Ultra Minigolf Adventures Deluxe,2009,$4.99,67,/,,14314,2.24,0.34199999999999997
Cabela's Dangerous Hunts 2013,2012,$29.99,45,/,,14120,3.168,1.312
Cabela's African Adventures,2013,$29.99,52,/,,11412,4.054,0.318
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,$39.99,64,/,,10058,7.342,5.12
Marvel: Ultimate Alliance 2,2016,$39.99,48,/,,9284,2.198,1.282
Marvel: Ultimate Alliance,2016,$39.99,57,/,,8704,12.186,7.126
Duck Dynasty,2014,$39.99,70,/,,6770,3.108,4.036
Call of Duty: Black Ops III Beta,2015,$59.99,55,/,,1741,0.0,0.0
