#,Game,Release date,Price,Userscore,Metascore,Owners,Average playtime,Median playtime
4,Call of Duty: Modern Warfare 2 - Multiplayer,"Nov 11, 2009",$19.99,91%,86%,"5,110,818",148:58,42:10
5,Call of Duty: Modern Warfare 2,"Nov 11, 2009",$19.99,91%,86%,"5,110,818",22:57,9:43
9,Call of Duty: Black Ops - Multiplayer,"Nov 9, 2010",$39.99,88%,81%,"3,608,852",76:11,18:58
10,Call of Duty: Black Ops,"Nov 9, 2010",$39.99,88%,81%,"3,608,852",24:56,9:16
57,Call of Duty: Modern Warfare 3 - Multiplayer,"Nov 8, 2011",$39.99,85%,/,"3,427,812",110:19,27:27
67,Call of Duty: Modern Warfare 3,"Nov 8, 2011",$39.99,85%,/,"3,427,812",26:19,9:12
22,Call of Duty: Black Ops II - Multiplayer,"Nov 12, 2012",$59.99,85%,74%,"3,039,192",83:34,19:40
23,Call of Duty: Black Ops II,"Nov 12, 2012",$59.99,85%,74%,"3,039,192",10:17,3:23
7,Call of Duty: World at War,"Nov 18, 2008",$19.99,93%,83%,"1,570,780",37:24,11:41
25,Call of Duty: Ghosts - Multiplayer,"Mar 25, 2014",$59.99,56%,68%,"1,450,593",38:19,6:39
26,Call of Duty: Ghosts,"Mar 25, 2014",$59.99,56%,68%,"1,450,593",9:35,5:16
43,Call of Duty: Black Ops III,"Nov 5, 2015",$59.99,55%,/,"1,414,953",72:22,24:05
14,Call of Duty: Advanced Warfare - Multiplayer,"Nov 3, 2014",$59.99,61%,78%,"1,082,257",35:15,9:34
15,Call of Duty: Advanced Warfare,"Nov 3, 2014",$59.99,61%,78%,"1,082,257",10:57,5:39
1,Call of Duty 4: Modern Warfare,"Nov 12, 2007",$19.99,92%,92%,"1,068,987",22:48,7:30
11,Vampire: The Masquerade - Bloodlines,"Mar 22, 2007",$19.99,94%,80%,"549,565",14:27,3:24
18,PROTOTYPE 2,"Jul 24, 2012",$39.99,66%,76%,"517,148",15:13,9:46
13,Prototype,"Jun 10, 2009",$19.99,81%,79%,"487,385",11:37,5:27
62,Call of Duty®: Infinite Warfare,"Nov 3, 2016",$59.99,52%,/,"337,625",22:02,8:55
