Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Unturned,2014,Free,92,/,adventure,27653868,18.186,2.3
Portal 2,2011,$19.99,98,95,adventure,9045088,16.108,9.216
Terraria,2011,$9.99,97,83,adventure,8301210,78.18,23.06
Trove,2015,Free,78,/,adventure,7380980,19.27,1.354
Grand Theft Auto V,2015,$59.99,82,96,adventure,6482053,111.342,61.282
Path of Exile,2013,Free,93,86,adventure,6448716,56.09,4.108
ARK: Survival Of The Fittest,2016,Free,57,/,adventure,6283015,3.246,0.15
Don't Starve Together Beta,2016,$14.99,96,83,adventure,5579971,22.126,7.27
Rust,2013,$19.99,81,/,adventure,5040852,98.024,23.096
Clicker Heroes,2015,Free,90,/,adventure,4610227,96.336,6.306
Neverwinter,2013,Free,78,74,adventure,4584978,28.198,4.342
Tomb Raider,2013,$19.99,96,86,adventure,4505678,15.156,10.27
theHunter,2014,Free,40,/,adventure,4369370,6.036,0.22799999999999998
ARK: Survival Evolved,2015,$29.99,70,/,adventure,4333862,114.354,16.054
Just Cause 2,2010,$14.99,92,84,adventure,4221620,17.078,3.204
Grand Theft Auto IV,2008,$19.99,65,90,adventure,4201104,22.288,7.024
LIMBO,2011,$9.99,94,88,adventure,4070516,2.336,1.246
Don't Starve,,$14.99,97,79,adventure,3957682,23.042,6.042
TERA,2015,Free,82,77,adventure,3833209,27.084,4.03
Life Is Strange,2015,Free,96,/,adventure,3793954,8.12,2.306
H1Z1: King of the Kill,2016,$19.99,64,/,adventure,3625689,45.102,10.048
Torchlight II,2012,$19.99,95,88,adventure,3419352,25.006,11.066
Castle Crashers,2012,$14.99,96,/,adventure,3413434,8.288,4.018
Batman: Arkham City GOTY,2012,$19.99,96,91,adventure,3399429,16.174,8.006
Amnesia: The Dark Descent,2010,$19.99,95,85,adventure,3264895,4.12,1.1320000000000001
Saints Row IV,2013,$14.99,92,86,adventure,3192895,20.216,14.006
Far Cry 3,2012,$19.99,89,88,adventure,3096433,28.168,16.306
The Binding of Isaac,2011,$4.99,96,84,adventure,3044948,31.156,6.12
Dishonored,2012,$9.99,97,91,adventure,3037254,17.132,10.18
Cry of Fear,2013,Free,87,/,adventure,2859718,2.252,0.276
The Expendabros,2014,Free,97,/,adventure,2858929,2.2279999999999998,1.012
Mirror's Edge,2009,$19.99,89,81,adventure,2848277,4.234,2.036
Batman: Arkham Asylum GOTY Edition,2010,$19.99,96,91,adventure,2837624,11.06,7.018
Spiral Knights,2011,Free,84,64,adventure,2837427,17.252,1.198
The Forest,2014,$14.99,91,/,adventure,2829537,18.306,9.33
Trine 2,2013,$19.99,96,84,adventure,2717294,6.144,3.084
Middle-earth: Shadow of Mordor,2014,$19.99,92,/,adventure,2674291,21.126,15.246
Starbound,2016,$14.99,90,81,adventure,2673699,50.318,24.306
H1Z1,2015,$19.99,63,/,adventure,2611561,61.09,16.012
Darksiders Warmastered Edition,2016,$19.99,82,/,adventure,2554552,5.102,2.162
Darksiders,2010,Free,89,83,adventure,2513324,10.108,3.06
Creativerse,2014,Free,83,/,adventure,2437970,8.222,1.15
DC Universe Online,2011,Free,82,72,adventure,2423570,24.108,5.27
ORION: Prelude,2013,$0.99,75,/,adventure,2372676,4.06,1.138
BattleBlock Theater,2014,$14.99,97,85,adventure,2313497,7.282,4.078
Aura Kingdom,,Free,80,/,adventure,2258264,15.18,1.042
S.K.I.L.L. - Special Force 2,2015,Free,70,/,adventure,2212104,10.216,1.204
The Walking Dead,2012,$24.99,97,82,adventure,2204806,12.354,11.108
The Mighty Quest For Epic Loot,2014,Free,66,64,adventure,2190997,14.348,3.162
Batman: Arkham Origins,2013,$19.99,85,74,adventure,2149967,19.228,10.24
The Stanley Parable,2013,$14.99,91,88,adventure,2141681,3.252,2.072
7 Days to Die,2013,$24.99,81,/,adventure,2058042,66.348,13.354
South Park: The Stick of Truth,2014,$29.99,97,/,adventure,2005767,15.282,12.198
Alan Wake,2012,$29.99,92,83,adventure,1746761,7.048,2.318
This War of Mine,2014,$19.99,95,83,adventure,1746761,13.27,5.096
Spec Ops: The Line,2012,$29.99,94,76,adventure,1711451,6.24,4.318
"Papers, Please",2013,$9.99,96,85,adventure,1684624,5.294,3.006
Just Cause 2: Multiplayer Mod,2013,Free,92,/,adventure,1670618,7.234,2.27
Mark of the Ninja,2012,$14.99,97,91,adventure,1658191,6.294,3.186
Knight Online,2016,Free,45,/,adventure,1649314,47.252,0.156
Riders of Icarus,2016,Free,65,/,adventure,1588557,17.324,1.1139999999999999
Trine,2009,$14.99,96,80,adventure,1566858,4.276,2.258
Outlast,2013,$19.99,96,80,adventure,1563307,5.012,2.156
L.A. Noire,2011,$19.99,87,83,adventure,1527405,12.348,5.144
Sleeping Dogs,,Free,94,81,adventure,1513202,17.198,11.324
Scribblenauts Unlimited,2012,$19.99,92,75,adventure,1512808,8.126,3.234
Emily is Away,2015,Free,89,/,adventure,1488742,1.018,0.24599999999999997
POSTAL 2,2012,$9.99,95,59,adventure,1479470,6.312,2.204
Guns of Icarus Online,2012,$9.99,94,64,adventure,1446528,9.108,3.294
Call of Duty: Black Ops III,2015,$59.99,55,/,adventure,1402144,69.186,24.066
How to Survive,2014,$14.99,83,60,adventure,1397606,6.042,2.282
Thief,2014,$29.99,70,70,adventure,1385179,11.156,4.066
Monaco,2013,$14.99,91,83,adventure,1357365,4.012,1.24
Brothers - A Tale of Two Sons,2013,$2.99,95,90,adventure,1311600,3.006,2.018
Assassin's Creed IV Black Flag,2013,$19.99,88,/,adventure,1281616,41.348,25.042
METAL GEAR SOLID V: THE PHANTOM PAIN,2015,$39.99,88,91,adventure,1268794,63.012,38.234
Rise of the Tomb Raider,2016,$59.99,93,86,adventure,1265440,22.306,17.0
Divinity: Original Sin - Enhanced Edition,2015,$39.99,90,94,adventure,1263468,25.054,7.144
Divinity: Original Sin,2014,Free,91,87,adventure,1263468,35.096,14.036
Subnautica,2014,$19.99,91,/,adventure,1259523,18.228,8.036
Only If,2014,Free,64,39,adventure,1248476,1.03,0.132
Brutal Legend,2013,$14.99,93,80,adventure,1240980,5.342,3.108
The Walking Dead: Season Two,2013,$24.99,96,/,adventure,1229341,10.276,9.12
Far Cry 3 Blood Dragon,2013,$14.99,89,81,adventure,1227171,6.132,3.036
Assassin's Creed II,2010,$19.99,83,86,adventure,1226382,24.198,14.12
Alan Wake's American Nightmare,2012,$9.99,73,73,adventure,1224213,3.054,1.21
Mad Max,2015,$19.99,90,73,adventure,1221451,25.156,15.216
Dragons and Titans,2014,Free,78,43,adventure,1203500,5.312,0.222
Moonbase Alpha,2010,Free,90,/,adventure,1191861,1.216,0.22799999999999998
To the Moon,2012,$7.49,97,81,adventure,1187127,3.042,2.24
WAKFU,2014,Free,80,76,adventure,1182590,24.192,1.288
School of Dragons: How to Train Your Dragon,2014,Free,49,/,adventure,1176278,4.114,0.282
Broforce,2015,$14.99,97,83,adventure,1172924,10.156,5.15
Dust: An Elysian Tail,2013,$14.99,96,/,adventure,1155565,7.06,3.06
Everlasting Summer,2014,Free,95,/,adventure,1116310,11.126,2.162
Tom Clancy's The Division,2016,$49.99,60,/,adventure,1113548,87.216,44.222
Elsword,2014,Free,80,/,adventure,1103685,22.174,1.072
Spooky's House of Jump Scares,2015,Free,92,/,adventure,1098556,1.228,0.168
Sniper Elite 3,2014,$49.99,81,/,adventure,1089877,18.054,5.342
Contagion,2013,$9.99,74,62,adventure,1074687,5.27,2.174
Assassin's Creed III,2012,$19.99,76,80,adventure,1068178,33.072,19.204
Antichamber,2013,$19.99,95,82,adventure,1066600,4.048,1.276
Just Cause 3,2015,$59.99,67,74,adventure,1046084,27.042,16.024
Viking: Battle for Asgard,2012,$14.99,50,/,adventure,1033459,2.276,0.162
Oddworld: Abe's Oddysee,2008,$2.99,90,/,adventure,1029909,3.132,1.012
Resident Evil 6 / Biohazard 6,2013,$29.99,80,69,adventure,1027344,21.132,9.048
Deadlight,2012,$14.99,80,78,adventure,1018073,3.114,2.096
The Wolf Among Us,2013,$24.99,97,85,adventure,1009985,9.228,8.192
Shadowrun Returns,2013,$14.99,89,76,adventure,993021,14.204,7.084
Batman: Arkham Knight,2015,$19.99,58,/,adventure,992626,26.252,17.03
BrainBread 2,2016,Free,65,/,adventure,982566,1.33,0.198
Lara Croft and the Guardian of Light,2010,$9.99,92,82,adventure,980396,4.318,1.252
Hero Siege,2014,$5.99,81,/,adventure,979409,11.246,4.054
Legend of Grimrock,2012,$14.99,95,82,adventure,977042,9.33,3.12
Defy Gravity,2016,$1.99,86,/,adventure,968560,2.048,0.27
Elite: Dangerous,2015,$29.99,69,80,adventure,954949,68.168,18.06
Vindictus,2012,Free,76,76,adventure,950215,38.246,2.276
The Escapists,2015,$17.99,91,71,adventure,942324,13.264,5.234
Shadow Warrior,2013,$39.99,94,73,adventure,938576,7.2459999999999996,3.3
Tomb Raider: Underworld,2008,$8.99,78,80,adventure,936998,5.18,1.1139999999999999
Cubic Castles,2014,Free,71,/,adventure,931869,6.3,0.20400000000000001
No Time To Explain Remastered,2015,$14.99,85,/,adventure,926543,1.336,0.324
Spintires,2014,$29.99,86,67,adventure,912537,28.03,9.15
DmC Devil May Cry,2013,$29.99,95,85,adventure,910170,11.072,7.042
Hammerwatch,2013,$9.99,90,72,adventure,901688,6.276,2.348
The Long Dark,2014,$19.99,94,/,adventure,900307,17.276,4.198
Far Cry 4,,$29.99,77,80,adventure,891628,37.294,24.348
Tomb Raider: Anniversary,2007,$8.99,87,83,adventure,875255,6.132,1.21
Resident Evil 5,2009,$19.99,84,86,adventure,871507,14.318,7.054
Tom Clancy's Splinter Cell Blacklist,2013,$29.99,84,/,adventure,868942,20.108,10.342
