Game,Release year,Price,Userscore,Metascore,Publisher,Owners,Average playtime,Median playtime
The Elder Scrolls V: Skyrim,2011,$19.99,94,94,Bethesda Softworks,11324556,116.006,46.354
The Elder Scrolls V: Skyrim Special Edition,2016,$39.99,75,74,Bethesda Softworks,5733936,19.288,3.084
Fallout: New Vegas,2010,$9.99,95,84,Bethesda Softworks,4624380,58.282,21.132
Fallout 4,2015,$59.99,78,84,Bethesda Softworks,4009035,106.276,58.036
Dishonored,2012,$9.99,97,91,Bethesda Softworks,3017392,17.18,10.198
Quake Live,2014,$9.99,83,/,Bethesda Softworks,2591048,6.114,0.216
Fallout 3 - Game of the Year Edition,2009,$19.99,83,91,Bethesda Softworks,2310673,19.006,4.042
The Elder Scrolls IV: Oblivion,2009,$14.99,95,94,Bethesda Softworks,1741583,26.03,6.234
DOOM,2016,$59.99,91,85,Bethesda Softworks,1632391,15.336,9.036
Wolfenstein: The New Order,2014,$19.99,90,81,Bethesda Softworks,1346518,18.258,11.342
RAGE,2011,$9.99,77,79,Bethesda Softworks,1324907,16.174,8.114
The Elder Scrolls III: Morrowind,2009,$14.99,95,89,Bethesda Softworks,1132304,15.222,2.072
The Elder Scrolls Online: Tamriel Unlimited,2015,$29.99,79,/,Bethesda Softworks,963397,66.294,16.258
Fallout 2,2009,$9.99,94,86,Bethesda Softworks,885104,9.204,0.318
Fallout,2009,$9.99,93,89,Bethesda Softworks,853825,5.354,1.024
Fallout Tactics,2009,$9.99,85,82,Bethesda Softworks,758661,5.252,0.168
Fallout 3,2008,$9.99,81,91,Bethesda Softworks,749561,16.012,4.042
BRINK,2011,$7.99,62,70,Bethesda Softworks,637715,10.246,4.312
DOOM 3: BFG Edition,2012,$19.99,82,/,Bethesda Softworks,582171,8.27,2.012
The Evil Within,2014,$19.99,79,68,Bethesda Softworks,552029,11.222,4.0
Wolfenstein: The Old Blood,2015,$19.99,89,76,Bethesda Softworks,479613,12.288,7.078
Dishonored 2,2016,$59.99,71,86,Bethesda Softworks,472978,18.216,12.282
Call of Cthulhu: Dark Corners of the Earth,2009,$4.99,72,76,Bethesda Softworks,198480,4.102,1.198
Quake 4,2011,$14.99,85,81,Bethesda Softworks,179334,4.084,0.33
Hunted: The Demon's Forge,2011,$4.99,71,61,Bethesda Softworks,114880,5.072,1.3
Rogue Warrior,2009,$4.99,60,29,Bethesda Softworks,83032,3.042,0.258
