#,Game,Release date,Price,Userscore,Metascore,Owners,Average playtime,Median playtime
24,Mirror's Edge,"Jan 14, 2009",$19.99,89%,81%,"2,788,391",4:40,2:08
11,Dead Space,"Jan 9, 2009",$19.99,89%,86%,"2,272,570",6:31,1:44
37,Crysis 2 Maximum Edition,"Mar 22, 2011",$29.99,81%,/,"2,173,235",6:48,2:33
8,Burnout Paradise: The Ultimate Box,"Mar 12, 2009",$19.99,87%,87%,"2,042,431",7:15,1:56
9,Battlefield: Bad Company 2,"Mar 2, 2010",$4.99,87%,87%,"1,916,177",53:49,11:09
1,Mass Effect 2,"Jan 26, 2010",$19.99,96%,94%,"1,763,763",39:34,25:40
32,Medal of Honor(TM) Multiplayer,"Oct 12, 2010",$19.99,68%,72%,"1,636,372",6:41,0:51
33,Medal of Honor(TM) Single Player,"Oct 12, 2010",$19.99,68%,72%,"1,636,372",4:13,1:21
6,Mass Effect,"Dec 19, 2008",$19.99,94%,89%,"1,568,316",23:24,11:21
15,Spore,"Dec 19, 2008",$19.99,88%,84%,"1,560,164",17:22,6:55
7,Dead Space 2,"Jan 25, 2011",$19.99,94%,87%,"1,348,414",10:06,4:17
12,The Sims(TM) 3,"Jan 27, 2011",$19.99,85%,86%,"1,205,099",66:40,16:40
41,SimCity 4 Deluxe,"Jul 20, 2010",$19.99,77%,/,"1,161,119",18:47,3:18
3,Dragon Age: Origins - Ultimate Edition,"Oct 26, 2010",$29.99,94%,91%,"1,142,730",38:01,12:34
39,Command and Conquer: Red Alert 3 - Uprising,"Oct 6, 2009",$19.99,75%,/,"1,130,408",17:57,1:07
5,Crysis,"Sep 17, 2008",$19.99,84%,91%,"1,001,880",7:56,3:32
10,Need for Speed: Hot Pursuit,"Dec 14, 2010",$19.99,81%,86%,"868,422",9:58,3:39
16,Crysis Wars,"Sep 17, 2008",$19.99,85%,84%,"857,806",1:46,0:13
17,Crysis Warhead,"Sep 17, 2008",$19.99,85%,84%,"857,806",4:37,2:23
23,Kingdoms of Amalur: Reckoning,"Feb 7, 2012",$19.99,88%,81%,"843,020",25:48,8:53
4,Dragon Age: Origins,"Nov 5, 2009",$19.99,93%,91%,"827,664",55:05,20:03
34,Spore: Galactic Adventures,"Jun 23, 2009",$19.99,78%,70%,"767,571",17:27,3:33
20,Command and Conquer: Red Alert 3,"Jan 8, 2009",$19.99,84%,82%,"704,064",15:06,4:48
42,Spore: Creepy & Cute Parts Pack,"Dec 19, 2008",$19.99,83%,/,"700,273",6:22,0:59
31,Alice: Madness Returns,,Free,87%,75%,"670,890",9:06,3:31
13,Command and Conquer 3: Tiberium Wars,"Nov 13, 2009",$14.99,90%,85%,"430,893",16:16,5:06
21,Bulletstorm,"Feb 21, 2011",$4.99,78%,82%,"370,610",6:06,3:30
35,Need for Speed: Undercover,"Dec 19, 2008",$9.99,69%,65%,"292,886",12:41,3:40
36,Command and Conquer 4: Tiberian Twilight,"Mar 16, 2010",$19.99,21%,64%,"283,218",7:10,2:28
29,Command and Conquer 3: Kane's Wrath,"Nov 13, 2009",$19.99,95%,77%,"232,034",22:46,6:21
22,Jade Empire: Special Edition,"Feb 27, 2007",$14.99,75%,81%,"205,115",8:38,1:56
14,Shift 2 Unleashed,"Mar 29, 2011",$19.99,60%,84%,"194,878",13:23,3:28
18,Need for Speed: SHIFT,"Oct 6, 2009",$19.99,74%,83%,"183,125",9:57,3:27
25,Medal of Honor: Airborne,"Oct 6, 2009",$9.99,79%,78%,"166,822",8:13,2:32
19,Dragon Age: Origins - Awakening,"Mar 16, 2010",$9.99,94%,82%,"150,519",0:18,0:01
27,DeathSpank,"Oct 25, 2010",$14.99,95%,77%,"135,543",6:35,3:52
40,Crysis 2,"Mar 22, 2011",$29.99,81%,/,"103,695",29:15,18:50
26,DeathSpank: Thongs Of Virtue,"Nov 30, 2010",$14.99,85%,78%,"101,420",7:33,3:17
30,RISK Factions,"Mar 8, 2011",$9.99,68%,77%,"71,468",17:06,4:26
38,WARP,"Mar 21, 2012",$9.99,75%,/,"43,601",3:09,1:06
