Game,Release year,Price,Userscore,Metascore,Publisher,Owners,Average playtime,Median playtime
Magicka,2011,$9.99,94,74,Paradox Interactive,3645818,10.12,4.288
Cities: Skylines,2015,$29.99,93,85,Paradox Interactive,3107627,36.096,12.084
Crusader Kings II,2012,$39.99,92,82,Paradox Interactive,1412679,114.264,11.084
War of the Roses,2013,Free,57,73,Paradox Interactive,1257800,12.018,0.354
Europa Universalis IV,2013,$39.99,92,87,Paradox Interactive,1142541,200.348,31.252
Dungeonland,2013,Free,71,67,Paradox Interactive,1052684,2.294,0.324
Pillars of Eternity,2015,$44.99,88,89,Paradox Interactive,876573,41.198,18.144
Warlock - Master of the Arcane,2012,$24.99,86,71,Paradox Interactive,799797,18.342,2.258
Teleglitch: Die More Edition,2013,$12.99,85,78,Paradox Interactive,771931,2.186,0.336
Stellaris,2016,$39.99,87,78,Paradox Interactive,745012,65.126,34.228
Cities in Motion 2,2013,$19.99,59,72,Paradox Interactive,681126,14.078,1.12
Magicka 2,2015,$14.99,73,69,Paradox Interactive,546911,5.144,3.18
Hearts of Iron III,2009,$9.99,81,77,Paradox Interactive,524920,51.138,4.21
The Showdown Effect,2013,$9.99,65,67,Paradox Interactive,514494,3.222,1.036
Hearts of Iron IV,2016,$39.99,83,83,Paradox Interactive,467860,86.084,43.138
Europa Universalis III,2009,$14.99,87,83,Paradox Interactive,467670,46.03,2.162
Knights of Pen and Paper +1,2013,$9.99,85,/,Paradox Interactive,441320,6.264,3.06
Victoria II,2010,$19.99,90,75,Paradox Interactive,437908,57.03,9.15
Leviathan: Warships,2013,$9.99,53,/,Paradox Interactive,287578,2.348,0.27
King Arthur - The Role-playing Wargame,2009,$9.99,76,/,Paradox Interactive,262555,17.312,2.222
Cities in Motion,2011,$19.99,76,70,Paradox Interactive,251560,19.294,2.348
Ship Simulator Extremes,2010,$19.99,46,49,Paradox Interactive,187675,18.168,2.354
Victoria: Revolutions,2010,$9.99,71,/,Paradox Interactive,166064,13.318,0.066
Sword of the Stars II: Enhanced Edition,2012,$19.99,43,65,Paradox Interactive,162651,23.054,1.252
King Arthur II - The Role-playing Wargame,2012,$9.99,50,66,Paradox Interactive,159618,10.306,2.036
Darkest Hour: A Hearts of Iron Game,2011,$9.99,92,81,Paradox Interactive,141799,59.006,3.3
Tyranny,2016,$44.99,88,80,Paradox Interactive,137059,24.036,15.018
Sword of the Stars Complete Collection,2010,$9.99,92,75,Paradox Interactive,129287,30.072,3.2640000000000002
Majesty 2 Collection,2011,$19.99,77,/,Paradox Interactive,120377,23.03,7.198
Impire,2013,$19.99,46,45,Paradox Interactive,117534,9.132,4.198
Majesty: Gold Edition,2009,$9.99,94,/,Paradox Interactive,114311,6.222,1.186
Sengoku,2011,$9.99,67,70,Paradox Interactive,109572,4.336,1.144
Majesty 2,2009,$9.99,74,72,Paradox Interactive,103885,25.12,7.33
A Game of Dwarves,2012,$9.99,64,60,Paradox Interactive,103126,12.324,3.174
Knights of Honor,2009,$9.99,92,77,Paradox Interactive,99714,17.21,5.336
Crusader Kings Complete,2012,$9.99,63,73,Paradox Interactive,89098,6.06,0.198
War of the Vikings,2014,$24.99,59,62,Paradox Interactive,87771,14.168,3.018
Hearts of Iron II: Complete,2009,$14.99,87,83,Paradox Interactive,87202,48.306,2.12
The Kings' Crusade,2010,$9.99,40,71,Paradox Interactive,81136,6.2459999999999996,1.264
Warlock 2: the Exiled,2014,$19.99,65,73,Paradox Interactive,79620,24.216,6.33
Europa Universalis: Rome - Gold Edition,2008,$9.99,66,79,Paradox Interactive,77155,21.018,2.234
March of the Eagles,2013,$19.99,66,71,Paradox Interactive,69762,14.252,2.324
Naval War: Arctic Circle,2012,$19.99,40,64,Paradox Interactive,65970,6.306,1.276
Knights of Pen and Paper 2,2015,$7.99,84,/,Paradox Interactive,64644,8.282,5.156
Arsenal of Democracy,2010,$9.99,85,/,Paradox Interactive,56682,28.036,1.246
Defenders of Ardania,2012,$9.99,32,58,Paradox Interactive,49288,2.294,0.252
Ancient Space,2014,$19.99,46,/,Paradox Interactive,44928,4.276,1.228
Magicka: Wizards of the Square Tablet,2013,$4.99,85,/,Paradox Interactive,43032,1.168,0.318
Gettysburg: Armored Warfare,2012,$9.99,29,22,Paradox Interactive,41895,0.24599999999999997,0.138
Sword of the Stars,2010,$9.99,92,75,Paradox Interactive,19526,46.132,11.09
