Game,Release year,Price,Userscore,Metascore,Publisher,Owners,Average playtime,Median playtime
Empire: Total War,2009,$19.99,91,90,SEGA,3584207,100.282,22.054
Company of Heroes,2007,$19.99,95,93,SEGA,2959194,14.234,2.102
Total War: SHOGUN 2,2011,$29.99,92,/,SEGA,2935118,74.24,23.006
"Warhammer 40,000: Dawn of War II",2009,$19.99,88,85,SEGA,2630289,29.03,10.342
Total War: ROME II - Emperor Edition,2013,$59.95,77,76,SEGA,2470292,123.24,42.324
Company of Heroes: Opposing Fronts,2007,$19.99,93,87,SEGA,2370767,13.156,1.018
Napoleon: Total War,2010,$19.99,93,81,SEGA,2257973,66.114,13.222
Company of Heroes: Tales of Valor,2009,$19.99,94,70,SEGA,2159586,28.198,2.318
Company of Heroes 2,2013,$29.99,76,80,SEGA,2061199,71.072,12.234
"Warhammer 40,000: Dawn of War II - Chaos Rising",2010,$19.99,91,85,SEGA,1823478,23.198,7.24
"Warhammer 40,000: Dawn of War II Retribution",2011,$29.99,91,/,SEGA,1822340,40.252,11.102
Medieval II: Total War,2007,$19.99,95,88,SEGA,1794663,57.24,9.288
Rome: Total War,2007,$9.99,94,92,SEGA,1635803,38.21,6.198
Hell Yeah!,2012,$14.99,87,64,SEGA,1614381,2.06,0.198
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2007,$12.99,93,86,SEGA,1606609,5.084,1.204
Jet Set Radio,2012,$7.99,83,/,SEGA,1604145,1.21,0.126
"Warhammer 40,000 Space Marine",2011,$29.99,92,74,SEGA,1143109,16.066,7.15
Football Manager 2016,2015,$49.99,66,81,SEGA,1130219,341.246,156.054
Aliens vs. Predator,2010,$14.99,89,68,SEGA,1113916,12.192,4.234
Total War: WARHAMMER,2016,$59.99,68,86,SEGA,1061405,73.342,38.192
Viking: Battle for Asgard,2012,$14.99,50,/,SEGA,1044722,2.252,0.15
Endless Space,2012,$5.24,83,77,SEGA,1043964,29.168,8.216
"Warhammer 40,000: Dawn of War - Soulstorm",2008,$12.99,94,/,SEGA,1036950,31.156,8.204
"Warhammer 40,000: Dawn of War - Dark Crusade",2007,$12.99,95,87,SEGA,1032590,19.228,4.144
"Warhammer 40,000: Dawn of War - Winter Assault",2007,$12.99,89,/,SEGA,970411,4.192,0.318
Endless Legend,2014,$10.49,83,82,SEGA,944061,25.102,9.21
Alien: Isolation,2014,$39.99,92,81,SEGA,942734,11.174,4.078
Valkyria Chronicles,2014,$6.79,92,/,SEGA,888327,12.276,5.078
Total War: ATTILA,2015,$44.99,71,80,SEGA,879607,84.306,30.018
Sonic & All-Stars Racing Transformed,2013,$19.99,95,79,SEGA,821598,9.072,4.012
Rome: Total War - Alexander,2007,$4.99,72,79,SEGA,765106,5.072,0.24
Renegade Ops,2011,$15,88,76,SEGA,733637,2.288,1.06
Binary Domain,2012,$14.99,88,68,SEGA,712216,5.12,1.042
Sonic Generations,2011,$19.99,93,77,SEGA,677904,8.15,2.072
Football Manager 2017,2016,$49.99,33,81,SEGA,613071,124.126,69.18
Total War Battles: KINGDOM,2015,Free,49,/,SEGA,588995,11.264,0.318
Sonic Adventure DX,2011,$7.99,82,/,SEGA,520371,5.168,0.318
Alpha Protocol,2010,$14.99,81,72,SEGA,484921,8.27,2.078
Condemned: Criminal Origins,2012,$14.95,89,78,SEGA,484352,2.108,0.264
Aliens: Colonial Marines,,$29.99,54,45,SEGA,431462,9.264,4.324
Sonic Adventure 2,2012,$9.99,86,/,SEGA,409851,9.276,2.216
Sonic CD,2012,$4.99,93,/,SEGA,298573,2.066,0.192
Crazy Taxi,2011,$7.99,75,/,SEGA,285683,0.288,0.084
The Typing of The Dead: Overkill,2013,$19.99,88,/,SEGA,278479,3.048,1.192
The Cave,2013,$14.99,86,68,SEGA,272223,5.072,2.234
SEGA Bass Fishing,2011,$7.99,81,/,SEGA,264640,1.1139999999999999,0.096
Space Channel 5: Part 2,2011,$7.99,87,/,SEGA,264072,2.102,0.192
NiGHTS into Dreams...,2012,$7.99,89,/,SEGA,257437,1.156,0.108
SONIC THE HEDGEHOG 4 Episode I,2012,$9.99,53,/,SEGA,244735,5.072,0.258
Sonic and SEGA All Stars Racing,2010,$9.99,79,65,SEGA,225589,5.168,1.0
SONIC THE HEDGEHOG 4 Episode II,2012,$9.99,81,54,SEGA,223883,3.114,0.276
SHOGUN: Total Warâ„¢ - Gold Edition,2015,$9.99,87,/,SEGA,173646,11.03,1.042
Eastside Hockey Manager: Early Access,2015,$19.99,86,/,SEGA,127391,86.174,6.06
MEDIEVAL: Total Warâ„¢ - Gold Edition,2015,$9.99,67,/,SEGA,126443,20.114,2.138
Sonic Lost World,2015,$29.99,67,/,SEGA,123979,5.006,0.336
Motorsport Manager,2016,$34.99,91,81,SEGA,74880,49.006,28.09
"Warhammer 40,000: Kill Team",2014,$9.99,54,/,SEGA,70899,2.3,1.09
Endless SpaceÂ® 2,2016,$29.99,81,/,SEGA,45118,11.282,3.186
Space Siege,2008,$14.99,48,60,SEGA,41705,4.324,1.24
Tembo: The Badass Elephant,2015,$14.99,77,/,SEGA,32037,2.078,0.306
The Club,2008,$14.99,49,67,SEGA,24265,0.336,0.11399999999999999
