Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Rocket League,2015,$19.99,94,86,sports,5006331,69.27,19.018
theHunter,2014,Free,40,/,sports,4369370,6.036,0.22799999999999998
FreeStyle2: Street Basketball,2015,Free,74,/,sports,4027908,12.108,1.042
DiRT 3 Complete Edition,2015,$2.99,88,86,sports,3588604,4.3,1.294
RaceRoom Racing Experience,2013,Free,55,/,sports,3274956,4.054,0.15
S.K.I.L.L. - Special Force 2,2015,Free,70,/,sports,2212104,10.216,1.204
Fishing Planet,2015,Free,78,/,sports,1945208,10.036,0.23399999999999999
Pro Evolution Soccer 2016 myClub,2016,Free,58,/,sports,1855651,13.09,1.09
DiRT Showdown,2012,$14.99,81,72,sports,1837897,4.108,1.078
Super Monday Night Combat,2012,Free,68,76,sports,1431536,8.012,0.216
SNOW,2013,Free,71,/,sports,1429958,4.06,0.192
SpeedRunners,2016,$14.99,94,84,sports,1344740,10.078,4.012
Football Manager 2016,2015,$49.99,66,81,sports,1128737,343.306,156.312
GRID 2,2013,$29.99,81,80,sports,1069164,13.222,4.174
Poker Night at the Inventory,2010,$4.99,85,71,sports,1055158,4.216,2.312
Defy Gravity,2016,$1.99,86,/,sports,968560,2.048,0.27
Pixel Puzzles Ultimate,2016,Free,62,/,sports,868745,15.246,0.096
Sonic & All-Stars Racing Transformed,2013,$19.99,95,79,sports,822388,9.294,3.33
Golf With Friends,2016,$5.99,92,/,sports,811933,6.084,3.156
Copa Petrobras de Marcas,2015,Free,58,/,sports,780174,1.0,0.072
Poker Night 2,2013,$4.99,85,75,sports,708962,7.09,3.156
Project CARS,2015,$29.99,77,83,sports,702255,27.324,6.078
BEEP,2011,$1.99,86,/,sports,677597,2.204,1.09
Out There Somewhere,2016,$1.99,93,/,sports,671680,2.204,1.228
Nidhogg,2014,$14.99,87,81,sports,666551,3.006,1.156
Mount Your Friends,2014,$4.99,95,/,sports,628282,2.294,1.246
Football Manager 2017,2016,$49.99,33,81,sports,623745,126.186,73.156
Steep Open Beta,2016,Free,67,/,sports,600270,1.282,0.258
Polarity,2016,$9.99,82,/,sports,579952,2.12,1.138
Waveform,2012,$1.99,83,81,sports,545826,2.27,1.342
GRID Autosport,2014,$39.99,76,78,sports,541881,14.0,4.216
Streamline,2016,$19.99,77,/,sports,527283,2.336,1.318
High Octane Drift,2016,Free,45,/,sports,518406,1.054,0.078
Lethal League,2014,$13.99,96,82,sports,512291,5.282,2.222
ACE - Arena: Cyber Evolution,2014,Free,68,/,sports,511897,0.282,0.10200000000000001
Pool Nation FX,2015,Free,62,/,sports,502034,1.036,0.066
Blood Bowl: Legendary Edition,2010,$19.99,76,73,sports,500653,18.066,2.024
Revolution Ace,2014,$1.99,74,/,sports,492368,2.288,2.156
Morphopolis,2014,$1.99,84,/,sports,478362,3.114,2.216
Worms Crazy Golf,2011,$9.99,85,/,sports,467710,1.192,0.174
NBA 2K16,2015,$59.99,48,/,sports,437529,109.078,34.312
The Hat Man: Shadow Ward,2016,$1.99,70,/,sports,433189,2.198,1.204
DiRT Rally,2015,$59.99,91,86,sports,431019,21.066,6.21
DETOUR,2011,$0.49,62,/,sports,427468,2.324,2.054
The Howler,2016,$1.99,80,/,sports,426482,3.144,2.33
Vertiginous Golf,2015,$9.99,58,63,sports,423523,0.264,0.10200000000000001
Hooligan Fighters,2016,Free,56,/,sports,399654,1.018,0.132
Saviors,2016,$1.99,85,/,sports,398273,3.204,3.108
