Game,Release year,Price,Userscore,Metascore,Publisher,Owners,Average playtime,Median playtime
Tom Clancy's Ghost Recon Phantoms - EU,2014,Free,71,/,Ubisoft,3994817,21.024,3.162
Far Cry 3,2012,$19.99,89,88,Ubisoft,3062131,27.276,17.036
The Mighty Quest For Epic Loot,2014,Free,66,64,Ubisoft,2145558,14.18,3.18
TrackMania Nations Forever,2008,Free,90,/,Ubisoft,2061768,7.294,1.138
South Park: The Stick of Truth,2014,$29.99,97,/,Ubisoft,2013238,15.258,12.204
Tom Clancy's Rainbow Six Siege,2015,$49.99,82,/,Ubisoft,1385949,79.096,28.03
Assassin's Creed IV Black Flag,2013,$19.99,88,/,Ubisoft,1305571,43.066,25.342
Far Cry 2,2008,$9.99,76,85,Ubisoft,1283202,10.144,2.132
Assassin's Creed II,2010,$19.99,83,86,Ubisoft,1252871,24.204,14.216
Far Cry 3 Blood Dragon,2013,$14.99,89,81,Ubisoft,1235241,6.228,2.336
Tom Clancy's The Division,2016,$49.99,60,/,Ubisoft,1121309,87.246,44.138
Assassin's Creed III,2012,$19.99,76,80,Ubisoft,1058940,32.03,18.18
Dark Messiah of Might & Magic Multi-Player,2006,$9.99,94,72,Ubisoft,1007756,6.018,0.156
Dark Messiah of Might & Magic Single Player,2006,$9.99,94,72,Ubisoft,1007377,7.186,2.204
Call of Juarez Gunslinger,2013,$14.99,95,79,Ubisoft,989937,7.348,4.252
Assassin's Creed Brotherhood,2011,$19.99,87,88,Ubisoft,894583,24.036,14.15
Far Cry 4,,$29.99,77,80,Ubisoft,893256,39.234,25.312
Anno 2070,2011,$19.99,62,83,Ubisoft,873161,33.324,10.294
Far Cry,2008,$9.99,84,89,Ubisoft,867853,6.228,1.0
Tom Clancy's Splinter Cell Blacklist,2013,$29.99,84,/,Ubisoft,852877,19.312,10.114
Assassin's Creed,2008,$19.99,83,79,Ubisoft,828043,10.156,4.222
Assassin's Creed Revelations,2011,$19.99,86,80,Ubisoft,821788,20.0,13.042
Watch_Dogs,2014,$29.99,64,77,Ubisoft,793542,25.288,15.054
Child of Light,2014,$14.99,93,77,Ubisoft,664255,7.2459999999999996,3.036
Might & Magic: Heroes VI,2011,$19.99,49,77,Ubisoft,658947,51.09,17.024
Steep Open Beta,2016,Free,67,/,Ubisoft,591080,1.312,0.252
Rocksmith 2014,2016,$39.99,92,/,Ubisoft,566626,48.108,9.27
Tom Clancy's Rainbow Six: Vegas 2,2008,$9.99,87,78,Ubisoft,493073,10.204,3.162
Heroes of Might & Magic III - HD Edition,2015,$14.99,64,65,Ubisoft,488144,25.258,7.0
Valiant Hearts: The Great War / Soldats Inconnus : Mmoires de la Grande Guerre,2014,$14.99,95,/,Ubisoft,453832,6.342,4.162
Assassins Creed Unity,2014,$39.99,55,/,Ubisoft,450230,27.18,17.33
Grow Home,2015,$7.99,93,75,Ubisoft,428619,4.012,2.048
From Dust,2011,$14.99,63,76,Ubisoft,426913,5.2459999999999996,2.198
Anno Online,2015,Free,50,/,Ubisoft,392979,15.168,0.132
Heroes of Might & Magic V,2008,$9.99,87,77,Ubisoft,367198,20.048,6.072
Tom Clancy's Splinter Cell: Chaos Theory,2009,$9.99,93,92,Ubisoft,354497,6.354,1.204
The Settlers Online,2015,Free,35,/,Ubisoft,350705,23.138,0.09
Watch_Dogs® 2,2016,$59.99,81,/,Ubisoft,338573,21.138,16.126
The Crew,2014,$29.99,67,71,Ubisoft,338004,42.12,20.168
TrackMania Stadium,2013,$9.99,90,/,Ubisoft,334971,18.138,4.024
Far Cry Primal,2016,$49.99,73,74,Ubisoft,299711,24.354,17.282
Assassin's Creed Syndicate,2015,$39.99,73,74,Ubisoft,292507,28.006,18.03
Heroes of Might & Magic V: Tribes of the East,2008,$9.99,93,70,Ubisoft,281322,40.162,7.288
Tom Clancy's Ghost Recon Future Soldier,2012,$19.99,67,71,Ubisoft,272413,16.024,6.306
Might & Magic: Clash of Heroes,2011,$9.99,92,76,Ubisoft,267105,20.234,8.3
Tom Clancy's Rainbow Six: Vegas,2008,$9.99,77,85,Ubisoft,265209,2.054,0.084
Prince of Persia,2008,$9.99,77,82,Ubisoft,263882,3.33,0.354
Trials Evolution Gold Edition,2013,$19.99,78,85,Ubisoft,255162,16.108,6.324
Tom Clancy's Splinter Cell,2008,$9.99,85,91,Ubisoft,253835,5.06,1.09
I Am Alive,2012,$14.99,67,66,Ubisoft,249475,4.18,1.318
Assassin's Creed Rogue,2015,$19.99,83,74,Ubisoft,246821,22.228,15.12
Heroes of Might & Magic V: Hammers of Fate,2008,$9.99,83,66,Ubisoft,244167,14.114,0.3
Tom Clancy's Splinter Cell: Double Agent,2009,$9.99,47,80,Ubisoft,243598,4.324,1.228
Might & Magic Heroes Online,2015,Free,38,/,Ubisoft,243219,5.126,0.09
Prince of Persia: The Sands of Time,2008,$9.99,88,89,Ubisoft,239807,4.252,1.138
Prince of Persia: The Forgotten Sands,2010,$9.99,67,75,Ubisoft,212319,7.12,3.072
Rayman Legends,2013,$29.99,94,89,Ubisoft,210613,18.288,6.108
Driver San Francisco,2011,$19.99,72,80,Ubisoft,209475,15.036,4.252
Call of Juarez: Bound in Blood,2009,$9.99,83,78,Ubisoft,209475,6.03,2.012
Prince of Persia: The Two Thrones,2008,$9.99,77,85,Ubisoft,208148,4.324,0.27
Prince of Persia: Warrior Within,2008,$9.99,87,83,Ubisoft,207580,5.234,1.138
Rayman Origins,2012,$19.99,94,86,Ubisoft,205684,10.036,2.186
Call of Juarez: The Cartel,2011,$9.99,52,51,Ubisoft,202651,7.348,2.222
Rocksmith,2012,$29.99,93,78,Ubisoft,200565,20.042,6.126
Beyond Good & Evil,2008,$9.99,93,/,Ubisoft,199428,4.132,1.072
Might & Magic X - Legacy,2014,$24.99,68,70,Ubisoft,179334,40.324,12.012
TrackMania Canyon,2013,$19.99,89,81,Ubisoft,178575,13.318,3.186
Trials Fusion,2014,$19.99,64,80,Ubisoft,173646,12.258,4.216
Assassin's Creed Liberation,2014,$19.99,59,/,Ubisoft,159997,9.114,4.192
The Settlers 7: Paths to a Kingdom - Gold Edition,2011,$19.99,55,79,Ubisoft,147486,17.3,5.15
TrackMania United,2008,$29.99,96,80,Ubisoft,130804,60.258,7.036
Tom Clancy's Rainbow Six 3: Gold Edition,2008,$9.99,93,85,Ubisoft,129097,7.144,1.21
Silent Hunter III,2008,$9.99,88,90,Ubisoft,127581,22.102,3.282
Assassin's Creed Freedom Cry,2014,$14.99,76,/,Ubisoft,126633,6.252,4.216
Assassins Creed Chronicles: China,2015,$9.99,72,/,Ubisoft,122462,5.108,1.288
Bloody Good Time,2010,$4.99,77,73,Ubisoft,119050,6.21,1.192
Shoot Many Robots,2012,$9.99,90,/,Ubisoft,113932,11.258,4.156
Tom Clancy's Ghost Recon,2008,$9.99,92,80,Ubisoft,113174,3.132,0.24
Brothers in Arms: Hell's Highway,2008,$9.99,90,79,Ubisoft,113174,7.066,3.198
Anno 2205,2015,$39.99,58,72,Ubisoft,108434,28.144,16.078
Might & Magic Heroes VII,2015,$49.99,43,/,Ubisoft,105970,51.354,18.258
Brothers in Arms: Road to Hill 30,2008,$9.99,88,87,Ubisoft,101420,6.0,2.21
Dawn of Discovery,2009,$9.99,88,82,Ubisoft,97250,26.138,8.186
TrackMania Valley,2013,$19.99,81,/,Ubisoft,94975,8.096,1.078
Brothers in Arms: Earned in Blood,2008,$9.99,89,84,Ubisoft,92321,5.168,2.006
Silent Hunter 5: Battle of the Atlantic,,$9.99,44,62,Ubisoft,86444,26.282,6.084
ShootMania Storm,2013,$19.99,88,76,Ubisoft,80947,37.174,3.186
Tom Clancy's EndWar,2009,$9.99,72,68,Ubisoft,78293,8.186,1.306
Silent Hunter: Wolves of the Pacific,2008,$9.99,68,79,Ubisoft,77155,16.288,4.186
Steep,2016,$59.99,78,71,Ubisoft,72985,11.144,7.012
ZOMBI,2015,$19.99,64,65,Ubisoft,72795,7.114,3.0
Tom Clancy's Rainbow Six: Lockdown,2008,$9.99,42,59,Ubisoft,71847,2.33,0.216
Silent Hunter: Wolves of the Pacific U-Boat Missions,2008,$9.99,77,/,Ubisoft,49478,11.348,2.096
The Settlers: Rise of an Empire Gold Edition,2008,$19.99,74,66,Ubisoft,45497,20.078,7.228
