#,Game,Release date,Price,Userscore,Metascore,Owners,Average playtime,Median playtime
95,Tom Clancy's Ghost Recon Phantoms - EU,"10 Apr, 2014",Free,71%,/,"3,994,817",21:04,3:27
7,Far Cry 3,"Dec 4, 2012",$19.99,89%,88%,"3,062,131",27:46,17:06
79,The Mighty Quest For Epic Loot,"Feb 25, 2014",Free,66%,64%,"2,145,558",14:30,3:30
96,TrackMania Nations Forever,"Apr 16, 2008",Free,90%,/,"2,061,768",7:49,1:23
90,South Park: The Stick of Truth,"Mar 3, 2014",$29.99,97%,/,"2,013,238",15:43,12:34
93,Tom Clancy's Rainbow Six Siege,"Dec 1, 2015",$49.99,82%,/,"1,385,949",79:16,28:05
115,Assassin's Creed IV Black Flag,"Nov 19, 2013",$19.99,88%,/,"1,305,571",43:11,25:57
16,Far Cry 2,"Oct 22, 2008",$9.99,76%,85%,"1,283,202",10:24,2:22
11,Assassin's Creed II,"Mar 9, 2010",$19.99,83%,86%,"1,252,871",24:34,14:36
25,Far Cry 3 Blood Dragon,"May 1, 2013",$14.99,89%,81%,"1,235,241",6:38,2:56
103,Tom Clancy's The Division,"Mar 7, 2016",$49.99,60%,/,"1,121,309",87:41,44:23
27,Assassin's Creed III,"Nov 20, 2012",$19.99,76%,80%,"1,058,940",32:05,18:30
61,Dark Messiah of Might & Magic Multi-Player,"Oct 25, 2006",$9.99,94%,72%,"1,007,756",6:03,0:26
62,Dark Messiah of Might & Magic Single Player,"Oct 25, 2006",$9.99,94%,72%,"1,007,377",7:31,2:34
35,Call of Juarez Gunslinger,"May 22, 2013",$14.99,95%,79%,"989,937",7:58,4:42
8,Assassin's Creed Brotherhood,"Mar 22, 2011",$19.99,87%,88%,"894,583",24:06,14:25
32,Far Cry 4,Nov 2014,$29.99,77%,80%,"893,256",39:39,25:52
19,Anno 2070,"Nov 17, 2011",$19.99,62%,83%,"873,161",33:54,10:49
6,Far Cry,"Apr 1, 2008",$9.99,84%,89%,"867,853",6:38,1:00
121,Tom Clancy's Splinter Cell Blacklist,"Aug 20, 2013",$29.99,84%,/,"852,877",19:52,10:19
36,Assassin's Creed,"Apr 9, 2008",$19.99,83%,79%,"828,043",10:26,4:37
28,Assassin's Creed Revelations,"Nov 29, 2011",$19.99,86%,80%,"821,788",20:00,13:07
42,Watch_Dogs,"May 26, 2014",$29.99,64%,77%,"793,542",25:48,15:09
44,Child of Light,"Apr 29, 2014",$14.99,93%,77%,"664,255",7:41,3:06
45,Might & Magic: Heroes VI,"Oct 13, 2011",$19.99,49%,77%,"658,947",51:15,17:04
94,Steep Open Beta,"Nov 18, 2016",Free,67%,/,"591,080",1:52,0:42
99,Rocksmith 2014,"Oct 4, 2016",$39.99,92%,/,"566,626",48:18,9:45
39,Tom Clancy's Rainbow Six: Vegas 2,"Apr 16, 2008",$9.99,87%,78%,"493,073",10:34,3:27
76,Heroes of Might & Magic III - HD Edition,"Jan 28, 2015",$14.99,64%,65%,"488,144",25:43,7:00
111,Valiant Hearts: The Great War / Soldats Inconnus : Mmoires de la Grande Guerre,"Jun 25, 2014",$14.99,95%,/,"453,832",6:57,4:27
101,Assassins Creed Unity,"Nov 11, 2014",$39.99,55%,/,"450,230",27:30,17:55
