#,Game,Release date,Price,Userscore,Metascore,Owners,Average playtime,Median playtime
7,Dota 2,"Jul 9, 2013",Free,89%,90%,"92,974,419",199:08,4:51
4,Team Fortress 2,"Oct 10, 2007",Free,94%,92%,"38,092,274",74:35,4:07
13,Counter-Strike: Global Offensive,"Aug 21, 2012",$14.99,92%,83%,"26,599,759",280:53,80:21
8,Left 4 Dead 2,"Nov 16, 2009",$19.99,97%,89%,"15,773,394",38:46,9:17
10,Counter-Strike: Source,"Nov 1, 2004",$19.99,95%,88%,"15,328,472",135:57,11:26
20,Half-Life 2: Lost Coast,"Oct 27, 2005",Free,83%,/,"14,949,711",0:55,0:25
24,Half-Life 2: Deathmatch,"Nov 1, 2004",$4.99,89%,/,"14,062,711",9:24,0:38
11,Counter-Strike,"Nov 1, 2000",$9.99,97%,88%,"13,080,546",180:12,7:22
21,Garry's Mod,"Nov 29, 2006",$9.99,95%,/,"12,875,242",94:44,15:59
18,Counter-Strike: Condition Zero Deleted Scenes,"Mar 1, 2004",$9.99,90%,65%,"10,568,360",4:15,0:33
19,Counter-Strike: Condition Zero,"Mar 1, 2004",$9.99,90%,65%,"10,568,360",33:50,1:23
1,Half-Life 2,"Nov 16, 2004",$9.99,97%,96%,"9,997,184",12:05,4:59
6,Portal,"Oct 10, 2007",$9.99,98%,90%,"9,823,158",5:25,2:57
3,Portal 2,"Apr 18, 2011",$19.99,98%,95%,"8,976,537",16:18,9:41
15,Day of Defeat,"May 1, 2003",$4.99,90%,79%,"7,601,393",14:06,0:27
27,Deathmatch Classic,"Jun 1, 2001",$4.99,84%,/,"7,484,239",1:28,0:08
33,Ricochet,"Nov 1, 2000",$4.99,81%,/,"7,470,400",1:03,0:04
32,Half-Life Deathmatch: Source,"May 1, 2006",$9.99,74%,/,"6,880,078",1:44,0:10
14,Day of Defeat: Source,"Jul 12, 2010",$9.99,91%,80%,"6,477,999",31:35,1:41
12,Half-Life 2: Episode One,"Jun 1, 2006",$7.99,95%,87%,"6,376,200",5:07,3:21
2,Half-Life,"Nov 8, 1998",$9.99,96%,96%,"6,026,064",8:30,1:32
5,Half-Life 2: Episode Two,"Oct 10, 2007",$7.99,96%,90%,"5,802,181",7:49,5:04
31,Team Fortress Classic,"Apr 1, 1999",$4.99,83%,/,"5,481,428",13:49,0:16
23,Half-Life: Opposing Force,"Nov 1, 1999",$4.99,95%,/,"5,471,949",6:40,1:43
17,Half-Life: Blue Shift,"Jun 1, 2001",$4.99,90%,71%,"5,448,063",4:12,1:12
16,Alien Swarm,"Jul 19, 2010",Free,95%,77%,"4,818,121",5:26,1:36
9,Left 4 Dead,"Nov 17, 2008",$19.99,95%,89%,"4,512,723",37:38,7:36
29,Half-Life: Source,"Jun 1, 2004",$9.99,81%,/,"3,082,983",5:11,1:03
30,Source Filmmaker,"Jul 10, 2012",Free,92%,/,"1,160,171",15:15,0:56
28,The Lab,"Apr 5, 2016",Free,98%,/,"495,916",4:21,1:18
26,Destinations,"Jun 9, 2016",Free,95%,/,"119,998",0:51,0:17
