Game,Release year,Price,Userscore,Metascore,Publisher,Owners,Average playtime,Median playtime
Batman: Arkham City GOTY,2012,$19.99,96,91,Warner Bros,3364116,17.018,8.168
Batman: Arkham Asylum GOTY Edition,2010,$19.99,96,91,Warner Bros,2820997,11.066,6.234
Gotham City Impostors: Free To Play,2012,Free,85,/,Warner Bros,2720714,4.144,0.33
Bastion,2011,$14.99,97,86,Warner Bros,2391430,6.054,3.084
The Lord of the Rings Online,2012,Free,82,86,Warner Bros,2192002,36.186,1.192
Batman: Arkham Origins,2013,$19.99,85,74,Warner Bros,2149918,19.258,10.276
F.E.A.R. 2: Project Origin,2009,$14.99,87,79,Warner Bros,1875230,12.018,6.03
F.E.A.R. 3,2011,$19.99,73,74,Warner Bros,1803383,7.3,3.324
The Lord of the Rings: War in the North,2011,$19.99,78,66,Warner Bros,1551254,10.342,3.222
Scribblenauts Unlimited,2012,$19.99,92,75,Warner Bros,1503104,8.144,3.234
Mad Max,2015,$19.99,90,73,Warner Bros,1238084,24.324,15.168
F.E.A.R.,2010,$9.99,94,88,Warner Bros,1209838,5.126,1.354
Mortal Kombat Komplete Edition,2013,$19.99,89,/,Warner Bros,1035813,11.306,4.21
Batman: Arkham Knight,2015,$19.99,58,/,Warner Bros,980837,27.078,16.174
Injustice: Gods Among Us Ultimate Edition,2013,$19.99,86,/,Warner Bros,882450,8.348,4.318
LEGO MARVEL Super Heroes,2013,$19.99,93,78,Warner Bros,864441,34.15,10.318
Mortal Kombat X,2015,$19.99,64,76,Warner Bros,761504,21.114,8.162
Dungeons & Dragons Online,2012,Free,76,/,Warner Bros,738756,21.276,1.072
Guardians of Middle-earth,2013,$19.99,22,56,Warner Bros,611744,2.246,1.084
LEGO Lord of the Rings,2012,$19.99,91,80,Warner Bros,559422,11.072,3.336
LEGO Worlds,2015,$14.99,80,/,Warner Bros,463500,9.234,3.018
LEGO - The Hobbit,2014,$19.99,80,/,Warner Bros,399614,17.21,5.156
Lego Harry Potter,2010,$19.99,78,79,Warner Bros,315066,12.228,3.2279999999999998
The LEGO Movie - Videogame,2014,$19.99,84,/,Warner Bros,306725,21.15,8.012
LEGO Harry Potter: Years 5-7,2012,$19.99,85,80,Warner Bros,266346,19.006,4.24
LEGO Batman 2,2012,$19.99,87,/,Warner Bros,256868,15.258,4.3
LEGO Jurassic World,2015,$19.99,82,72,Warner Bros,246062,25.0,9.192
LEGO Batman: The Videogame,2008,$19.99,82,80,Warner Bros,217248,9.33,1.216
Scribblenauts Unmasked,2013,$19.99,83,68,Warner Bros,202082,8.042,3.15
LEGO® STAR WARS™: The Force Awakens,2016,$39.99,80,/,Warner Bros,141230,16.15,7.318
LEGOÂ® MARVEL's Avengers,2016,$39.99,84,/,Warner Bros,122462,26.324,10.324
Batman: Arkham Asylum,2010,$19.99,96,91,Warner Bros,98197,18.09,13.228
Watchmen: The End Is Nigh,2009,$4.99,66,61,Warner Bros,33554,1.3479999999999999,1.084
Watchmen: The End Is Nigh Part 2,2009,$4.99,64,44,Warner Bros,27298,2.054,1.078
Hot Wheels World's Best Driver,2013,$19.99,26,/,Warner Bros,6256,2.294,1.066
