Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Unturned,2014,Free,92,/,indie,27653868,18.186,2.3
Heroes & Generals,2016,Free,67,/,indie,13330424,12.072,0.3
Garry's Mod,2006,$9.99,95,/,indie,12984622,95.084,16.006
Robocraft,2014,Free,73,/,indie,11551903,18.312,2.144
Terraria,2011,$9.99,97,83,indie,8301210,78.18,23.06
No More Room in Hell,2013,Free,90,/,indie,7285702,7.03,1.144
Path of Exile,2013,Free,93,86,indie,6448716,56.09,4.108
ARK: Survival Of The Fittest,2016,Free,57,/,indie,6283015,3.246,0.15
Loadout,2014,Free,86,72,indie,5581944,6.294,2.012
Don't Starve Together Beta,2016,$14.99,96,83,indie,5579971,22.126,7.27
Brawlhalla,2014,Free,88,/,indie,5262378,11.018,2.15
Rust,2013,$19.99,81,/,indie,5040852,98.024,23.096
Rocket League,2015,$19.99,94,86,indie,5006331,69.27,19.018
Clicker Heroes,2015,Free,90,/,indie,4610227,96.336,6.306
Chivalry: Medieval Warfare,2012,$24.99,84,79,indie,4406455,18.21,4.3
ARK: Survival Evolved,2015,$29.99,70,/,indie,4333862,114.354,16.054
LIMBO,2011,$9.99,94,88,indie,4070516,2.336,1.246
AdVenture Capitalist,2015,Free,90,/,indie,4032445,39.102,3.078
Don't Starve,,$14.99,97,79,indie,3957682,23.042,6.042
DayZ,2013,$34.99,68,/,indie,3632593,78.006,21.27
Euro Truck Simulator 2,2013,$19.99,97,79,indie,3513052,62.342,18.192
Torchlight II,2012,$19.99,95,88,indie,3419352,25.006,11.066
Castle Crashers,2012,$14.99,96,/,indie,3413434,8.288,4.018
Insurgency,2014,$9.99,91,74,indie,3350310,18.162,4.204
Amnesia: The Dark Descent,2010,$19.99,95,85,indie,3264895,4.12,1.1320000000000001
GunZ 2: The Second Duel,2014,Free,67,/,indie,3207887,8.222,0.34199999999999997
Fistful of Frags,2014,Free,92,/,indie,3104324,4.354,1.1139999999999999
The Binding of Isaac,2011,$4.99,96,84,indie,3044948,31.156,6.12
Cry of Fear,2013,Free,87,/,indie,2859718,2.252,0.276
The Expendabros,2014,Free,97,/,indie,2858929,2.2279999999999998,1.012
The Forest,2014,$14.99,91,/,indie,2829537,18.306,9.33
Realm of the Mad God,2012,Free,82,82,indie,2811191,20.048,1.09
Trine 2,2013,$19.99,96,84,indie,2717294,6.144,3.084
Goat Simulator,2014,$9.99,89,62,indie,2697371,6.216,2.102
Starbound,2016,$14.99,90,81,indie,2673699,50.318,24.306
FTL: Faster Than Light,2012,$9.99,97,84,indie,2642532,27.204,11.006
Super Meat Boy,2010,$14.99,95,87,indie,2592624,5.078,1.3
Dungeon Defenders II,2014,Free,77,/,indie,2567177,12.27,2.072
Toribash,2014,Free,88,/,indie,2507407,4.126,0.252
Creativerse,2014,Free,83,/,indie,2437970,8.222,1.15
Bastion,2011,$14.99,97,86,indie,2426134,5.354,3.066
Undertale,2015,$9.99,96,92,indie,2384117,15.06,8.168
ORION: Prelude,2013,$0.99,75,/,indie,2372676,4.06,1.138
Orcs Must Die! 2,2012,$14.99,96,83,indie,2370506,12.138,5.234
BattleBlock Theater,2014,$14.99,97,85,indie,2313497,7.282,4.078
World of Guns: Gun Disassembly,2014,Free,82,/,indie,2242680,3.114,0.24599999999999997
Prison Architect,2015,$29.99,94,83,indie,2163775,26.168,10.132
Fractured Space,2016,Free,72,79,indie,2156279,4.198,0.22799999999999998
Space Engineers,2013,$24.99,88,/,indie,2147205,48.048,8.282
The Stanley Parable,2013,$14.99,91,88,indie,2141681,3.252,2.072
Hotline Miami,2012,$9.99,97,85,indie,2122942,5.228,3.342
Transformice,2015,Free,83,/,indie,2118404,13.174,0.258
Gear Up,2015,Free,74,/,indie,2118010,2.282,0.144
Stardew Valley,2016,$14.99,97,88,indie,2068497,46.228,25.162
Infestation: The New Z,2016,Free,44,/,indie,2061198,8.108,0.294
Archeblade,2014,Free,75,/,indie,2060015,4.186,0.276
7 Days to Die,2013,$24.99,81,/,indie,2058042,66.348,13.354
Serious Sam 3: BFE,2011,$39.99,90,72,indie,2008135,10.108,3.21
