Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Heroes & Generals,2016,Free,67,/,MMO,13330424,12.072,0.3
Robocraft,2014,Free,73,/,MMO,11551903,18.312,2.144
War Thunder,2013,Free,83,81,MMO,10778436,43.264,4.3
Trove,2015,Free,78,/,MMO,7380980,19.27,1.354
Counter-Strike Nexon: Zombies,2014,Free,65,/,MMO,7157876,16.054,0.23399999999999999
PlanetSide 2,2012,Free,84,84,MMO,7141108,25.21,2.342
Path of Exile,2013,Free,93,86,MMO,6448716,56.09,4.108
ARK: Survival Of The Fittest,2016,Free,57,/,MMO,6283015,3.246,0.15
Marvel Heroes 2015,2013,Free,77,81,MMO,5189588,28.342,1.06
Rust,2013,$19.99,81,/,MMO,5040852,98.024,23.096
APB Reloaded,2011,Free,64,/,MMO,4660135,27.174,2.114
Neverwinter,2013,Free,78,74,MMO,4584978,28.198,4.342
ARK: Survival Evolved,2015,$29.99,70,/,MMO,4333862,114.354,16.054
FreeStyle2: Street Basketball,2015,Free,74,/,MMO,4027908,12.108,1.042
TERA,2015,Free,82,77,MMO,3833209,27.084,4.03
DayZ,2013,$34.99,68,/,MMO,3632593,78.006,21.27
H1Z1: King of the Kill,2016,$19.99,64,/,MMO,3625689,45.102,10.048
H1Z1: King of the Kill Test Server,2016,Free,57,/,MMO,3625689,1.096,0.078
Defiance,2014,Free,78,64,MMO,3479320,16.162,2.168
Survarium,2015,Free,51,/,MMO,3166461,5.042,0.198
Firefall,2014,Free,65,60,MMO,3050668,13.12,1.15
Spiral Knights,2011,Free,84,64,MMO,2837427,17.252,1.198
Realm of the Mad God,2012,Free,82,82,MMO,2811191,20.048,1.09
RIFT,2011,Free,78,84,MMO,2664428,40.27,3.222
H1Z1,2015,$19.99,63,/,MMO,2611561,61.09,16.012
Creativerse,2014,Free,83,/,MMO,2437970,8.222,1.15
DC Universe Online,2011,Free,82,72,MMO,2423570,24.108,5.27
Block N Load Beta,2015,Free,76,72,MMO,2335196,7.342,1.054
Aura Kingdom,,Free,80,/,MMO,2258264,15.18,1.042
The Lord of the Rings Online,2012,Free,82,86,MMO,2193956,32.24,1.186
Transformice,2015,Free,83,/,MMO,2118404,13.174,0.258
Infestation: The New Z,2016,Free,44,/,MMO,2061198,8.108,0.294
Star Conflict,2013,Free,81,75,MMO,2031609,13.246,1.138
Fallen Earth,2012,Free,56,71,MMO,2025691,6.228,0.264
Aftermath,2015,Free,46,/,MMO,1992748,4.222,0.288
Fishing Planet,2015,Free,78,/,MMO,1945208,10.036,0.23399999999999999
Happy Wars,2014,Free,77,/,MMO,1872221,3.342,0.282
Tree of Savior (English Ver.),2016,Free,59,/,MMO,1800417,57.27,5.012
sZone-Online,2015,Free,40,/,MMO,1767671,3.198,0.126
Star Trek Online,2012,Free,77,76,MMO,1679100,65.144,5.162
Knight Online,2016,Free,45,/,MMO,1649314,47.252,0.156
Riders of Icarus,2016,Free,65,/,MMO,1588557,17.324,1.1139999999999999
Stronghold Kingdoms,2012,Free,66,75,MMO,1495252,90.084,0.294
Ghost in the Shell: Stand Alone Complex - First Assault Online,2016,Free,70,/,MMO,1357759,6.168,1.03
Ragnarok Online 2,2013,Free,60,/,MMO,1276882,19.09,0.354
Guns and Robots,2014,Free,66,/,MMO,1200541,2.084,0.132
ArcheAge,2015,Free,55,80,MMO,1195412,45.18,3.102
WAKFU,2014,Free,80,76,MMO,1182590,24.192,1.288
School of Dragons: How to Train Your Dragon,2014,Free,49,/,MMO,1176278,4.114,0.282
Panzar,2013,Free,65,/,MMO,1173319,11.096,1.222
World of Tanks Blitz,2016,Free,71,/,MMO,1151225,10.27,1.066
Elsword,2014,Free,80,/,MMO,1103685,22.174,1.072
Infestation: Survivor Stories,,Free,43,/,MMO,1031684,44.03,6.048
Hero Siege,2014,$5.99,81,/,MMO,979409,11.246,4.054
MechWarrior Online,2015,Free,79,/,MMO,972111,20.162,0.3
Elite: Dangerous,2015,$29.99,69,80,MMO,954949,68.168,18.06
Vindictus,2012,Free,76,76,MMO,950215,38.246,2.276
The Elder Scrolls Online: Tamriel Unlimited,2015,$29.99,79,/,MMO,950215,65.036,16.144
Cubic Castles,2014,Free,71,/,MMO,931869,6.3,0.20400000000000001
MicroVolts Surge,2012,Free,70,/,MMO,931672,7.036,1.018
WildStar,2016,Free,74,82,MMO,928516,6.282,1.24
CrimeCraft GangWars,2011,Free,49,68,MMO,886104,6.042,0.048
