Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Robocraft,2014,Free,73,/,RPG,11562041,18.228,2.138
The Elder Scrolls V: Skyrim,2011,$19.99,94,94,RPG,11392792,115.228,47.33
Terraria,2011,$9.99,97,83,RPG,8283728,78.066,22.336
PAYDAY 2,2013,$19.99,80,79,RPG,7475319,55.138,17.18
Trove,2015,Free,78,/,RPG,7406492,19.318,2.0
Borderlands 2,2012,$19.99,96,89,RPG,7138632,61.12,24.006
Path of Exile,2013,Free,93,86,RPG,6434872,55.246,4.072
ARK: Survival Of The Fittest,2016,Free,57,/,RPG,6267032,3.276,0.15
The Elder Scrolls V: Skyrim Special Edition,2016,$39.99,75,74,RPG,5793900,19.222,3.084
Marvel Heroes 2015,2013,Free,77,81,RPG,5159369,29.162,1.06
Rust,2013,$19.99,81,/,RPG,5025942,98.018,23.036
Clicker Heroes,2015,Free,90,/,RPG,4628680,95.288,6.306
Neverwinter,2013,Free,78,74,RPG,4587425,28.204,4.306
Fallout: New Vegas,2010,$9.99,95,84,RPG,4581991,59.204,21.342
The Witcher 2: Assassins of Kings Enhanced Edition,2012,$19.99,88,88,RPG,4468689,15.192,4.324
ARK: Survival Evolved,2015,$29.99,70,/,RPG,4339891,115.12,15.198
Fallout 4,2015,$59.99,78,84,RPG,4034599,107.006,58.354
TERA,2015,Free,82,77,RPG,3805983,26.18,4.036
Magicka,2011,$9.99,94,74,RPG,3686844,10.096,4.21
BioShock Remastered,2016,$19.99,49,/,RPG,3600711,4.09,1.168
BioShock,2007,Free,94,96,RPG,3600308,7.156,2.33
Defiance,2014,Free,78,64,RPG,3455410,16.336,2.192
Torchlight II,2012,$19.99,95,88,RPG,3390810,24.342,11.072
Castle Crashers,2012,$14.99,96,/,RPG,3388194,8.24,3.354
The Witcher: Enhanced Edition,2008,$9.99,86,86,RPG,3235045,15.27,3.006
Borderlands,2009,$19.99,94,81,RPG,3180708,30.06,12.336
BioShock 2 Remastered,2016,$19.99,41,/,RPG,3171853,4.24,1.264
Survarium,2015,Free,51,/,RPG,3143276,5.054,0.198
The Binding of Isaac,2011,$4.99,96,84,RPG,2997372,30.3,6.09
Firefall,2014,Free,65,60,RPG,2997171,14.234,1.15
Dark Souls: Prepare to Die Edition,2012,$19.99,90,85,RPG,2841808,42.114,9.006
Spiral Knights,2011,Free,84,64,RPG,2825306,18.102,1.192
Realm of the Mad God,2012,Free,82,82,RPG,2801760,20.186,1.108
The Witcher 3: Wild Hunt,2015,$39.99,97,93,RPG,2702546,67.138,32.282
Starbound,2016,$14.99,90,81,RPG,2648410,52.216,25.102
RIFT,2011,Free,78,84,RPG,2641970,43.276,3.2640000000000002
Dungeon Defenders II,2014,Free,77,/,RPG,2592866,12.318,2.048
Star Wars: Knights of the Old Republic,2009,$9.99,89,/,RPG,2572137,14.168,3.0
Darksiders Warmastered Edition,2016,$19.99,82,/,RPG,2556641,5.102,2.18
Mount & Blade: Warband,2010,$19.99,97,78,RPG,2549195,110.084,34.108
Creativerse,2014,Free,83,/,RPG,2451993,8.228,1.156
Bastion,2011,$14.99,97,86,RPG,2425227,5.354,3.102
DC Universe Online,2011,Free,82,72,RPG,2405505,24.168,5.306
Undertale,2015,$9.99,96,92,RPG,2365054,15.078,8.138
Fallout 3 - Game of the Year Edition,2009,$19.99,83,91,RPG,2310718,18.198,4.006
Aura Kingdom,,Free,80,/,RPG,2276304,16.18,1.048
The Lord of the Rings Online,2012,Free,82,86,RPG,2171656,31.078,1.18
The Mighty Quest For Epic Loot,2014,Free,66,64,RPG,2164009,14.18,3.162
Star Wars: Knights of the Old Republic II,2012,$9.99,88,85,RPG,2126577,19.18,5.312
Infestation: The New Z,2016,Free,44,/,RPG,2108062,8.18,0.306
Stardew Valley,2016,$14.99,97,88,RPG,2085724,45.114,24.09
7 Days to Die,2013,$24.99,81,/,RPG,2079284,68.306,14.072
Fallen Earth,2012,Free,56,71,RPG,1993552,8.066,0.258
South Park: The Stick of Truth,2014,$29.99,97,/,RPG,1979868,15.252,12.18
Dungeon Defenders,2011,$14.99,92,81,RPG,1969805,42.264,11.264
Titan Quest Anniversary Edition,2016,$19.99,93,/,RPG,1806795,15.162,3.324
Tree of Savior (English Ver.),2016,Free,59,/,RPG,1804783,57.27,4.306
sZone-Online,2015,Free,40,/,RPG,1786268,3.09,0.132
Mass Effect 2,2010,$19.99,96,94,RPG,1780432,39.15,25.066
Borderlands: The Pre-Sequel,2014,$39.99,81,75,RPG,1780432,36.018,18.138
Dying Light,2015,$59.99,92,87,RPG,1769565,35.3,23.138
The Elder Scrolls IV: Oblivion,2009,$14.99,95,94,RPG,1751050,27.234,6.15
Star Trek Online,2012,Free,77,76,RPG,1658476,70.222,5.192
Knight Online,2016,Free,45,/,RPG,1639157,47.21,0.162
Titan Quest,2007,Free,85,77,RPG,1634729,5.108,0.20400000000000001
Mass Effect,2008,$19.99,94,89,RPG,1586027,23.288,11.21
The Lord of the Rings: War in the North,2011,$19.99,78,66,RPG,1580392,9.354,3.21
Riders of Icarus,2016,Free,65,/,RPG,1572946,19.066,1.1139999999999999
Deus Ex: Human Revolution - Director's Cut,2013,$19.99,91,91,RPG,1515591,16.294,5.198
Enclave,2013,$4.99,79,71,RPG,1476549,2.186,1.042
Strife,2015,Free,77,/,RPG,1453406,7.27,1.126
Risk of Rain,2013,$9.99,94,77,RPG,1445557,16.246,5.222
Torchlight,2009,$14.99,93,83,RPG,1414162,16.174,7.306
Crusader Kings II,2012,$39.99,92,82,RPG,1386592,113.252,10.282
How to Survive,2014,$14.99,83,60,RPG,1385787,6.09,2.294
The Ship,2006,$9.99,87,76,RPG,1381158,3.24,1.252
Mount & Blade: With Fire and Sword,2011,$9.99,85,68,RPG,1352178,23.354,5.2459999999999996
The Ship Single Player,2006,Free,72,/,RPG,1348958,1.288,0.288
Rogue Legacy,2013,$14.99,94,85,RPG,1278321,15.054,7.258
Divinity: Original Sin - Enhanced Edition,2015,$39.99,90,94,RPG,1265642,24.318,7.234
Divinity: Original Sin,2014,Free,91,87,RPG,1265642,35.324,14.0
Ragnarok Online 2,2013,Free,60,/,RPG,1256385,19.318,0.34199999999999997
Risen 2 - Dark Waters,2012,$9.99,77,69,RPG,1243304,18.282,4.048
Guns and Robots,2014,Free,66,/,RPG,1190980,2.042,0.132
ArcheAge,2015,Free,55,80,RPG,1190778,43.264,3.048
Dragons and Titans,2014,Free,78,43,RPG,1189571,5.354,0.22799999999999998
To the Moon,2012,$9.99,97,81,RPG,1188967,3.036,2.282
WAKFU,2014,Free,80,76,RPG,1188565,23.294,1.288
Dragon Age: Origins - Ultimate Edition,2010,$29.99,94,91,RPG,1182527,37.15,13.03
Dust: An Elysian Tail,2013,$14.99,96,/,RPG,1176289,6.336,3.012
School of Dragons: How to Train Your Dragon,2014,Free,49,/,RPG,1170855,4.036,0.27
Overlord,2009,$4.99,93,81,RPG,1169849,6.126,1.306
Transistor,2014,$19.99,95,83,RPG,1154755,4.198,2.15
Tom Clancy's The Division,2016,$49.99,60,/,RPG,1116921,85.222,44.276
The Elder Scrolls III: Morrowind,2009,$14.99,95,89,RPG,1115914,15.318,2.084
Elsword,2014,Free,80,/,RPG,1101022,22.156,1.054
Titan Quest: Immortal Throne,2007,Free,91,80,RPG,1093174,29.18,6.24
FINAL FANTASY VII,2013,$11.99,93,/,RPG,1083312,26.318,5.318
Darkest Dungeon,2016,$24.99,87,84,RPG,1078483,26.114,12.09
Tabletop Simulator,2015,$19.99,94,/,RPG,1075464,15.03,4.234
DARK SOULS II,2014,$39.99,88,91,RPG,1056144,79.252,48.066
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,$19.99,95,82,RPG,1055742,11.168,2.198
Mount & Blade,2008,$9.99,90,72,RPG,1050912,21.294,2.306
Infestation: Survivor Stories,,Free,43,/,RPG,1031391,47.252,6.072
State of Decay,2013,Free,85,79,RPG,1026963,19.12,7.018
Endless Legend,2014,$29.99,83,82,RPG,1014083,25.126,9.144
Overlord II,2009,$9.99,88,79,RPG,1008449,9.324,3.246
Shadowrun Returns,2013,$14.99,89,76,RPG,999795,14.126,6.33
DARK SOULS II: Scholar of the First Sin,2015,$39.99,87,80,RPG,998386,55.144,29.174
Dark Messiah of Might & Magic Single Player,2006,$9.99,94,72,RPG,995569,7.138,2.246
Dark Messiah of Might & Magic Multi-Player,2006,$9.99,94,72,RPG,995569,3.234,0.138
Tropico 5,2014,$24.99,76,75,RPG,991141,21.024,9.138
Hero Siege,2014,$5.99,81,/,RPG,989934,12.06,4.078
Legend of Grimrock,2012,$14.99,95,82,RPG,973834,9.324,3.102
Defy Gravity,2016,$1.99,86,/,RPG,971620,2.06,0.276
Two Worlds: Epic Edition,2009,$9.99,67,65,RPG,964375,5.066,2.204
Two Worlds II,2011,$19.99,62,76,RPG,960149,12.09,3.0
The Elder Scrolls Online: Tamriel Unlimited,2015,$29.99,79,/,RPG,959344,61.15,16.042
Elite: Dangerous,2015,$29.99,69,80,RPG,952099,68.054,17.048
Vindictus,2012,Free,76,76,RPG,944855,35.15,2.234
Valkyria Chronicles,2014,$19.99,92,/,RPG,925535,13.186,4.348
WildStar,2016,Free,74,82,RPG,917686,7.048,1.246
8BitMMO,2015,Free,59,/,RPG,899574,4.078,0.09
Fallout 2,2009,$9.99,94,86,RPG,887298,9.072,1.024
Overlord: Raising Hell,2009,$9.99,92,/,RPG,885889,9.318,3.174
The Last Remnant,2009,$9.99,82,66,RPG,883675,25.144,3.03
Risen,2009,$9.99,87,77,RPG,882065,13.162,3.216
Hammerwatch,2013,$9.99,90,72,RPG,882065,6.27,2.354
Pillars of Eternity,2015,$44.99,88,89,RPG,880455,39.15,18.036
CrimeCraft GangWars,2011,Free,49,68,RPG,873613,4.342,0.048
S.T.A.L.K.E.R.: Call of Pripyat,2010,$19.99,95,80,RPG,870594,22.264,4.024
Fallout,2009,$9.99,93,89,RPG,858721,5.27,1.048
