Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Garry's Mod,2006,$9.99,95,/,simulation,12984622,95.084,16.006
Robocraft,2014,Free,73,/,simulation,11551903,18.312,2.144
War Thunder,2013,Free,83,81,simulation,10778436,43.264,4.3
Don't Starve Together Beta,2016,$14.99,96,83,simulation,5579971,22.126,7.27
Clicker Heroes,2015,Free,90,/,simulation,4610227,96.336,6.306
theHunter,2014,Free,40,/,simulation,4369370,6.036,0.22799999999999998
Arma 2: Operation Arrowhead,2010,$19.99,92,73,simulation,4106024,53.054,3.2640000000000002
Don't Starve,,$14.99,97,79,simulation,3957682,23.042,6.042
DiRT 3 Complete Edition,2015,$2.99,88,86,simulation,3588604,4.3,1.294
Euro Truck Simulator 2,2013,$19.99,97,79,simulation,3513052,62.342,18.192
RaceRoom Racing Experience,2013,Free,55,/,simulation,3274956,4.054,0.15
Cities: Skylines,2015,$29.99,93,85,simulation,3103929,35.324,12.102
Arma 3,2013,$39.99,90,74,simulation,2896803,170.294,35.168
The Forest,2014,$14.99,91,/,simulation,2829537,18.306,9.33
Goat Simulator,2014,$9.99,89,62,simulation,2697371,6.216,2.102
FTL: Faster Than Light,2012,$9.99,97,84,simulation,2642532,27.204,11.006
Creativerse,2014,Free,83,/,simulation,2437970,8.222,1.15
Tropico 4,2011,$14.99,92,78,simulation,2316654,17.264,4.138
World of Guns: Gun Disassembly,2014,Free,82,/,simulation,2242680,3.114,0.24599999999999997
Prison Architect,2015,$29.99,94,83,simulation,2163775,26.168,10.132
Space Engineers,2013,$24.99,88,/,simulation,2147205,48.048,8.282
Stardew Valley,2016,$14.99,97,88,simulation,2068497,46.228,25.162
7 Days to Die,2013,$24.99,81,/,simulation,2058042,66.348,13.354
Star Conflict,2013,Free,81,75,simulation,2031609,13.246,1.138
Age of Empires III: Complete Collection,2012,$39.99,90,81,simulation,2013263,24.102,5.108
Fishing Planet,2015,Free,78,/,simulation,1945208,10.036,0.23399999999999999
Besiege,2015,$7.99,96,/,simulation,1829415,9.336,3.24
Red Crucible: Firestorm,2015,Free,58,/,simulation,1801009,2.288,0.144
Surgeon Simulator,2013,$9.99,83,71,simulation,1769249,3.2279999999999998,1.288
This War of Mine,2014,$19.99,95,83,simulation,1746761,13.27,5.096
Kerbal Space Program,2015,$39.99,97,88,simulation,1745578,69.288,14.294
Mitos.is: The Game,2015,Free,83,/,simulation,1735912,9.09,1.078
Banished,2014,$19.99,90,/,simulation,1720920,29.048,10.312
Spore,2008,$19.99,88,84,simulation,1549499,16.03,6.294
Emily is Away,2015,Free,89,/,simulation,1488742,1.018,0.24599999999999997
DCS World,2013,Free,78,/,simulation,1488150,3.306,0.036
Guns of Icarus Online,2012,$9.99,94,64,simulation,1446528,9.108,3.294
SNOW,2013,Free,71,/,simulation,1429958,4.06,0.192
Tropico 3 - Steam Special Edition,2009,$9.99,88,79,simulation,1398790,7.138,1.0
Crusader Kings II,2012,$39.99,92,82,simulation,1393464,112.3,11.054
Arma: Cold War Assault,2011,$5.99,74,/,simulation,1349474,1.354,0.09
Viscera Cleanup Detail: Shadow Warrior,2013,Free,80,/,simulation,1289506,0.33,0.108
Game Dev Tycoon,2013,$9.99,95,68,simulation,1223818,13.354,7.216
The Sims(TM) 3,2011,$19.99,85,86,simulation,1217900,60.234,16.078
Moonbase Alpha,2010,Free,90,/,simulation,1191861,1.216,0.22799999999999998
SimCity 4 Deluxe,2010,$19.99,77,/,simulation,1168584,18.03,3.054
Europa Universalis IV,2013,$39.99,92,87,simulation,1139587,195.108,32.186
Arma 2,2009,$12.99,83,77,simulation,1134458,5.318,0.20400000000000001
Football Manager 2016,2015,$49.99,66,81,simulation,1128737,343.306,156.312
Plague Inc: Evolved,2016,$14.99,94,/,simulation,1092441,11.018,5.336
Tabletop Simulator,2015,$19.99,94,/,simulation,1065219,14.252,4.306
State of Decay,2013,Free,85,79,simulation,1056342,18.252,6.318
Age of Mythology: Extended Edition,2014,$29.99,83,66,simulation,1036616,22.336,6.09
Infestation: Survivor Stories,,Free,43,/,simulation,1031684,44.03,6.048
SpaceChem,2011,$9.99,92,84,simulation,1016889,4.294,1.024
Tropico 5,2014,$24.99,76,75,simulation,1002884,20.24,9.216
Knights and Merchants,2013,$3.49,82,/,simulation,992429,3.3,1.1139999999999999
Stronghold HD,2013,$5.99,93,81,simulation,979015,7.354,2.102
MechWarrior Online,2015,Free,79,/,simulation,972111,20.162,0.3
Defy Gravity,2016,$1.99,86,/,simulation,968560,2.048,0.27
Elite: Dangerous,2015,$29.99,69,80,simulation,954949,68.168,18.06
