Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Dota 2,2013,Free,89,90,strategy,93726428,198.282,4.312
Sid Meier's Civilization V,2010,$29.99,96,90,strategy,9963149,174.276,40.27
ARK: Survival Of The Fittest,2016,Free,57,/,strategy,6283015,3.246,0.15
Clicker Heroes,2015,Free,90,/,strategy,4610227,96.336,6.306
Arma 2: Operation Arrowhead,2010,$19.99,92,73,strategy,4106024,53.054,3.2640000000000002
FreeStyle2: Street Basketball,2015,Free,74,/,strategy,4027908,12.108,1.042
Age of Empires II: HD Edition,2013,$19.99,93,68,strategy,3995951,37.198,8.312
Empire: Total War,2009,$19.99,91,90,strategy,3586828,105.306,22.15
XCOM: Enemy Unknown,2012,$29.99,95,89,strategy,3528636,50.318,23.138
Insurgency,2014,$9.99,91,74,strategy,3350310,18.162,4.204
Cities: Skylines,2015,$29.99,93,85,strategy,3103929,35.324,12.102
Company of Heroes,2007,$19.99,95,93,strategy,3025616,15.072,2.114
Total War: SHOGUN 2,2011,$29.99,92,/,strategy,2956771,76.102,23.3
Arma 3,2013,$39.99,90,74,strategy,2896803,170.294,35.168
"Warhammer 40,000: Dawn of War II",2009,$19.99,88,85,strategy,2713743,29.204,10.354
FTL: Faster Than Light,2012,$9.99,97,84,strategy,2642532,27.204,11.006
Dungeon Defenders II,2014,Free,77,/,strategy,2567177,12.27,2.072
Toribash,2014,Free,88,/,strategy,2507407,4.126,0.252
Total War: ROME II - Emperor Edition,2013,$59.95,77,76,strategy,2504448,129.222,43.276
Company of Heroes: Opposing Fronts,2007,$19.99,93,87,strategy,2415679,12.342,1.042
Orcs Must Die! 2,2012,$14.99,96,83,strategy,2370506,12.138,5.234
Block N Load Beta,2015,Free,76,72,strategy,2335196,7.342,1.054
Tropico 4,2011,$14.99,92,78,strategy,2316654,17.264,4.138
Napoleon: Total War,2010,$19.99,93,81,strategy,2285091,65.036,14.066
Magic Duels,2015,Free,71,/,strategy,2225321,24.222,2.156
S.K.I.L.L. - Special Force 2,2015,Free,70,/,strategy,2212104,10.216,1.204
Company of Heroes: Tales of Valor,2009,$19.99,94,70,strategy,2206384,27.312,2.348
The Mighty Quest For Epic Loot,2014,Free,66,64,strategy,2190997,14.348,3.162
Prison Architect,2015,$29.99,94,83,strategy,2163775,26.168,10.132
Fractured Space,2016,Free,72,79,strategy,2156279,4.198,0.22799999999999998
Space Engineers,2013,$24.99,88,/,strategy,2147205,48.048,8.282
Company of Heroes 2,2013,$29.99,76,80,strategy,2105188,74.204,12.234
Age of Empires III: Complete Collection,2012,$39.99,90,81,strategy,2013263,24.102,5.108
Dungeon Defenders,2011,$14.99,92,81,strategy,1994326,43.216,11.282
"Warhammer 40,000: Dawn of War II - Chaos Rising",2010,$19.99,91,85,strategy,1902796,23.042,8.15
"Warhammer 40,000: Dawn of War II  Retribution",2011,$29.99,91,/,strategy,1871037,41.036,12.042
Medieval II: Total War,2007,$19.99,95,88,strategy,1840264,55.192,10.168
Awesomenauts,2012,$9.99,87,78,strategy,1774378,24.036,5.348
Banished,2014,$19.99,90,/,strategy,1720920,29.048,10.312
Natural Selection 2,2012,$9.99,84,80,strategy,1708887,15.012,2.234
Rome: Total War,2007,$9.99,94,92,strategy,1652273,39.204,6.312
Sid Meier’s Civilization® VI,2016,$59.99,79,88,strategy,1622289,52.24,27.06
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2007,$12.99,93,86,strategy,1616174,5.162,1.294
Sanctum 2,2013,$14.99,91,77,strategy,1600590,7.18,3.0
L.A. Noire,2011,$19.99,87,83,strategy,1527405,12.348,5.144
Scribblenauts Unlimited,2012,$19.99,92,75,strategy,1512808,8.126,3.234
Orcs Must Die!,2011,$9.99,97,83,strategy,1496435,7.18,3.18
Stronghold Kingdoms,2012,Free,66,75,strategy,1495252,90.084,0.294
Sid Meier's Civilization: Beyond Earth,2014,$39.99,52,81,strategy,1494068,47.216,17.048
Sid Meier's Civilization IV,2006,$19.99,92,94,strategy,1457574,24.198,3.144
Strife,2015,Free,77,/,strategy,1446133,7.234,1.126
Star Wars: Empire at War Gold,2010,$19.99,93,/,strategy,1443371,20.186,3.222
Super Monday Night Combat,2012,Free,68,76,strategy,1431536,8.012,0.216
Tropico 3 - Steam Special Edition,2009,$9.99,88,79,strategy,1398790,7.138,1.0
Crusader Kings II,2012,$39.99,92,82,strategy,1393464,112.3,11.054
Monaco,2013,$14.99,91,83,strategy,1357365,4.012,1.24
Arma: Cold War Assault,2011,$5.99,74,/,strategy,1349474,1.354,0.09
AirMech,2012,Free,89,/,strategy,1343556,8.09,1.24
Orcs Must Die! Unchained,2016,Free,64,/,strategy,1276882,6.264,0.336
Divinity: Original Sin - Enhanced Edition,2015,$39.99,90,94,strategy,1263468,25.054,7.144
Divinity: Original Sin,2014,Free,91,87,strategy,1263468,35.096,14.036
Braid,2009,$14.99,94,90,strategy,1243150,3.216,1.252
