#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median)
18,Magicka,"Jan 25, 2011",$9.99,90% (94%/74%),"3,645,818",10:20 (04:48)
3,Cities: Skylines,"Mar 10, 2015",$29.99,87% (93%/85%),"3,107,627",36:16 (12:14)
7,Crusader Kings II,"Feb 14, 2012",$39.99,83% (92%/82%),"1,412,679",114:44 (11:14)
19,War of the Roses,"Feb 6, 2013",Free,15% (57%/73%),"1,257,800",12:03 (00:59)
2,Europa Universalis IV,"Aug 13, 2013",$39.99,83% (92%/87%),"1,142,541",200:58 (31:42)
32,Dungeonland,"Nov 12, 2013",Free,32% (71%/67%),"1,052,684",02:49 (00:54)
1,Pillars of Eternity,"Mar 26, 2015",$44.99,70% (88%/89%),"876,573",41:33 (18:24)
25,Warlock - Master of the Arcane,"May 8, 2012",$24.99,64% (86%/71%),"799,797",18:57 (02:43)
11,Teleglitch: Die More Edition,"Jul 24, 2013",$12.99,62% (85%/78%),"771,931",02:31 (00:56)
12,Stellaris,"May 9, 2016",$39.99,67% (87%/78%),"745,012",65:21 (34:38)
23,Cities in Motion 2,"Apr 2, 2013",$19.99,17% (59%/72%),"681,126",14:13 (01:20)
30,Magicka 2,"May 26, 2015",$14.99,35% (73%/69%),"546,911",05:24 (03:30)
13,Hearts of Iron III,"Aug 7, 2009",$9.99,52% (81%/77%),"524,920",51:23 (04:35)
31,The Showdown Effect,"Mar 5, 2013",$9.99,23% (65%/67%),"514,494",03:37 (01:06)
4,Hearts of Iron IV,"Jun 6, 2016",$39.99,56% (83%/83%),"467,860",86:14 (43:23)
5,Europa Universalis III,"Feb 4, 2009",$14.99,67% (87%/83%),"467,670",46:05 (02:27)
48,Knights of Pen and Paper +1,"Jun 18, 2013",$9.99,62% (85%),"441,320",06:44 (03:10)
17,Victoria II,"Aug 30, 2010",$19.99,77% (90%/75%),"437,908",57:05 (09:25)
44,Leviathan: Warships,"Apr 30, 2013",$9.99,12% (53%),"287,578",02:58 (00:45)
47,King Arthur - The Role-playing Wargame,"Nov 24, 2009",$9.99,41% (76%),"262,555",17:52 (02:37)
27,Cities in Motion,"Feb 22, 2011",$19.99,41% (76%/70%),"251,560",19:49 (02:58)
40,Ship Simulator Extremes,"Aug 27, 2010",$19.99,7% (46%/49%),"187,675",18:28 (02:59)
53,Victoria: Revolutions,"Aug 20, 2010",$9.99,32% (71%),"166,064",13:53 (00:11)
34,Sword of the Stars II: Enhanced Edition,"Nov 30, 2012",$19.99,6% (43%/65%),"162,651",23:09 (01:42)
33,King Arthur II - The Role-playing Wargame,"Jan 27, 2012",$9.99,10% (50%/66%),"159,618",10:51 (02:06)
8,Darkest Hour: A Hearts of Iron Game,"Apr 8, 2011",$9.99,83% (92%/81%),"141,799",59:01 (03:50)
9,Tyranny,"Nov 10, 2016",$44.99,70% (88%/80%),"137,059",24:06 (15:03)
15,Sword of the Stars Complete Collection,"Jun 4, 2010",$9.99,83% (92%/75%),"129,287",30:12 (03:44)
56,Majesty 2 Collection,"Apr 19, 2011",$19.99,43% (77%),"120,377",23:05 (07:33)
41,Impire,"Feb 14, 2013",$19.99,7% (46%/45%),"117,534",09:22 (04:33)
46,Majesty: Gold Edition,"Sep 4, 2009",$9.99,90% (94%),"114,311",06:37 (01:31)
28,Sengoku,"Sep 15, 2011",$9.99,26% (67%/70%),"109,572",04:56 (01:24)
22,Majesty 2,"Sep 17, 2009",$9.99,37% (74%/72%),"103,885",25:20 (07:55)
37,A Game of Dwarves,"Oct 23, 2012",$9.99,22% (64%/60%),"103,126",12:54 (03:29)
14,Knights of Honor,"Feb 4, 2009",$9.99,83% (92%/77%),"99,714",17:35 (05:56)
21,Crusader Kings Complete,"Feb 14, 2012",$9.99,21% (63%/73%),"89,098",06:10 (00:33)
36,War of the Vikings,"Apr 15, 2014",$24.99,17% (59%/62%),"87,771",14:28 (03:03)
6,Hearts of Iron II: Complete,"Jan 23, 2009",$14.99,67% (87%/83%),"87,202",48:51 (02:20)
26,The Kings' Crusade,"Oct 8, 2010",$9.99,5% (40%/71%),"81,136",06:41 (01:44)
20,Warlock 2: the Exiled,"Apr 10, 2014",$19.99,23% (65%/73%),"79,620",24:36 (06:55)
10,Europa Universalis: Rome - Gold Edition,"Dec 18, 2008",$9.99,25% (66%/79%),"77,155",21:03 (02:39)
24,March of the Eagles,"Feb 18, 2013",$19.99,25% (66%/71%),"69,762",14:42 (02:54)
35,Naval War: Arctic Circle,"Apr 10, 2012",$19.99,5% (40%/64%),"65,970",06:51 (01:46)
43,Knights of Pen and Paper 2,"Oct 20, 2015",$7.99,59% (84%),"64,644",08:47 (05:26)
51,Arsenal of Democracy,"Feb 23, 2010",$9.99,62% (85%),"56,682",28:06 (01:41)
38,Defenders of Ardania,"Mar 14, 2012",$9.99,3% (32%/58%),"49,288",02:49 (00:42)
49,Ancient Space,"Sep 23, 2014",$19.99,7% (46%),"44,928",04:46 (01:38)
50,Magicka: Wizards of the Square Tablet,"Oct 31, 2013",$4.99,62% (85%),"43,032",01:28 (00:53)
42,Gettysburg: Armored Warfare,"Mar 27, 2012",$9.99,2% (29%/22%),"41,895",00:41 (00:23)
16,Sword of the Stars,"Jun 4, 2010",$9.99,83% (92%/75%),"19,526",46:22 (11:15)
